Name,Address,Phone,Email,Website,Url
Academie Artemis Amsterdam,"Prinsengracht, 400 - 1016 JB Amsterdam -",+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Academie Artemis Rotterdam,"Westersingel, 23 - 3014 GP Rotterdam -",+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Academy of Art University,79 New Montgomery Street - CA 94105 San Francisco -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Accademia del Lusso,via Montenapoleone 5 - 20121 Milan -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Accademia Italiana,p.zza Pitti 15 - 50125 Florence -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Akademie Jak,Alte Mineralwasserfabrik Hohenfelder Allee 41-43  - 22087 Hamburg -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
amD - Akademie Mode & Design,Karl-Friedrich-Klees-Str.10 - 40476  Düsseldorf -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
amD - Akademie Mode & Design,Alte Rabenstraße 1  - 20148 Hamburg -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
amD - Akademie Mode & Design,Infanteriestraße 11a - 80797 Munich -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
amD - Akademie Mode & Design,Jacobowitz Hof Pappelallee 78/79 - 10437 Berlin -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
ArtEZ Institute of the Arts Arnhem,"Onderlangs, 9 - 6812 CE Arnhem -",+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Atelier Chardon Savard,Mehringdamm 33 - 10961 Berlin -,+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Atelier Chardon-Savard,"15, rue Gambey - 75011 Paris -",+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
"Bau, Escuela Superior de Diseño","Calle Pujades, 118 - 08005 Barcelona -",+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Beckmans Designhögskola,"Brahegatan, 10 - 114 34 Stockholm -",+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
