Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
Can I still have reconstruction surgery after removing my implants from 2 prior reconstructions and asymmetrical breasts?,"October 21, 2021","Qualicum Beach, British Columbia, Canada","29 year old female, average weight. Ive had 2 reconstructive surgeries as my breast were much different size. thinking about having them removed as they cause me pain. My concern is if I have them out will reconstruction surgery be possible to have them look similar again after the implants are removed. Is this better to-do before or after children?",Can I still have reconstruction surgery after removing my implants from 2 prior reconstructions and asymmetrical breasts?
Chronic skin discoloration after breast reconstruction - advice?,"May 12, 2022",,"I'm 48, DCIS survivor, double mastectomy with reconstruction in 2015. Reconstruction revision in 2018 due to excessive wrinkling/puckering skin. I have fair skin and thin skin/tissue on breasts. I'm very active with jogging, weight lifting, some boxing. 3 yrs ago started having chronic red/purple discoloration and burning. Dr. said not IBC. Plastic surgeon says scar tissue advised to do another revision surgery. Has anyone else experienced this? 3 recon surgery in 8 years sucks",Chronic skin discoloration after breast reconstruction - advice?
In NJ. Does Medicare and AARP cover surgery to fix symmetry issues a few years after partial mastectomy no radiation?,"April 5, 2021","Caldwell, NJ","I noticed the affected breast Is smaller by 2 sizes since surgery and Radiation. I was scheduled for surgery with Blue Shield coverage but developed RA and cancelled. I'm on methotrexate & Humira -feel great . Now on Medicare , turned 65; am healthy , BMI is low... I am so uncomfortable with the discrepancy & want a reduction on the large unaffected breast. All Medicare cover this ?",In NJ. Does Medicare and AARP cover surgery to fix symmetry issues a few years after partial mastectomy no radiation?
"I already have implants and I am having a prophylactic mastectomy in December, will I need to get expanders?","November 1, 2019","Palm Harbor, FL",I am scheduled for a prophylactic mastectomy in December and have my consult for the plastic surgery side next week. I wanted to know if I will need to go through the expander process I keep reading about since I already have implants and if I will be able to spare my nipples. Will I have to also have drains? I've had implants for almost 20 years. My first set was over the muscle and my second set were done 4 years ago under the muscle.,"I already have implants and I am having a prophylactic mastectomy in December, will I need to get expanders?"
Would I need a Breast Reduction? I suffer with heat rash during the summer months,"May 26, 2022",,"I want my breast off of my ribs, I suffer with heat rash during the Summer months. Most after photos I've seen with just a lift don't seem to address the breast off the Chest Wall.",Would I need a Breast Reduction? I suffer with heat rash during the summer months
"Should I be concerned about soreness, tenderness and swelling after exercise? Implants under muscle","July 8, 2022","Spartanburg, South Carolina",I had a double mastectomy 7 years ago and have reconstruction with implants under my muscle now. I’ve recently been doing yoga with push-ups and one armed side planks. I was a little sore but I don’t have a lot if feeling in my breast area from my mastectomy. I am tender and swollen to the left of my left breast. I’ve stopped yoga this week and still have swelling. Should I be concerned?,"Should I be concerned about soreness, tenderness and swelling after exercise? Implants under muscle"
"I have been through plastic surgery for breast cancer, I had a mastectomy. Do I need another to add 800cc?","May 26, 2019","Illinois, IL",When the first plastic surgeon ask me if I was happy with my non cancer breast I explained no it was too big. Next thing I know she wrote in her notes I begged for her to keep me large. But she ended up not doing surgery saying my Fibromyalgia was causing my pain. So had new doctor that I had already meet. Then now he has decided to make me the size he thanks I should be. Not the size I want. I want smaller. I have had 3 surgery with him and now he wants to do another one to add 800 cc .,"I have been through plastic surgery for breast cancer, I had a mastectomy. Do I need another to add 800cc?"
Had a breast reconstruction done out of the country and had to travel back to the US. Will I have trouble remove my stitches?,"May 7, 2019","Great Neck, NY","My stitches are still intact around my areola, my surgeon mentioned that there is a high chance that I would not get my stitches removed in the US since I had my procedure out of state and I would have to return. I took the risk due to me having to return back to work. Is this true?",Had a breast reconstruction done out of the country and had to travel back to the US. Will I have trouble remove my stitches?
"Reconstruction options? 94 lbs, 5' tall (Photo)","August 5, 2019","Rochester, NY","Left papillary carcinoma DCIS with microinvasion, bilateral mastectomy (attempting nipple sparing) in 10 days. PS recommended delayed recon before he met me due to ""thin skin due to age."" 54, 5' tall, 94 lbs. & healthy aside from well-controlled hi BP. Breast surgeon is optimistic I won't need radiation but won't know for sure until pathology is complete. Am I too thin for any type of flap procedure? Likely not enough fat to construct a breast but is flap/implant an option for me? Desperate.","Reconstruction options? 94 lbs, 5' tall (Photo)"
"Are there silicone breast implants available at 1000cc, for reconstruction after double mastectomy?","September 23, 2015","Oregon, MO","Due to my measurements I need to have implants of 1000cc. I want silicone and have been told by my DR. that 800cc is the largest available, that I would have to have pinning on my sides to hold them. I have 800cc expanders in now with a 4/5 inch gap in front where I should have cleavage. I look like a science project. I had a double mastectomy in Feb. due to cancer. I am a larger women and just want to look more normal. Please Help!","Are there silicone breast implants available at 1000cc, for reconstruction after double mastectomy?"
