Product_id,Product_Name,Brand_Name,Unit_Size,Price,Nutri_Score,Property_Icon,Images_url,Category_Rank,Product_Rank,Page_no,pro_url,page_url,Category_url,TimeStamp
231582,"A.Vogel Keeltabletten verzacht de keel1,2*",A.Vogel,20 stuks,6.69,,,"https://static.ah.nl/dam/product/AHI_43545239373339313234?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373339313234?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373339313234?revLabel=3&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373339313234?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Keeltabletten,1,1,https://www.ah.nl/producten/product/wi231582/a-vogel-keeltabletten-verzacht-de-keel1-2,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
376792,A.Vogel Oogdruppels extra intensief droge ogen,A.Vogel,10 ml,13.49,,,"https://static.ah.nl/dam/product/AHI_43545239373530303231?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373530303231?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373530303231?revLabel=3&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373530303231?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Oog,2,1,https://www.ah.nl/producten/product/wi376792/a-vogel-oogdruppels-extra-intensief-droge-ogen,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
30645,A.Vogel Molkosan drank lactosevrij en caloriearm,A.Vogel,200 ml,7.49,etos,,"https://static.ah.nl/dam/product/AHI_43545239373536343635?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373536343635?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373536343635?revLabel=1&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373536343635?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary","Drogisterij/Blaas, prostaat, darmflora",3,1,https://www.ah.nl/producten/product/wi30645/a-vogel-molkosan-drank-lactosevrij-en-caloriearm,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
59538,A.Vogel Echinaforce herstellende crme ruwe huid,A.Vogel,30 g,8.99,,,"https://static.ah.nl/dam/product/AHI_43545239373437363835?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373437363835?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373437363835?revLabel=3&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373437363835?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Huid,4,1,https://www.ah.nl/producten/product/wi59538/a-vogel-echinaforce-herstellende-crme-ruwe-huid,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
59540,A.Vogel Echinaforce druppels bij griep,A.Vogel,100 ml,17.99,,,"https://static.ah.nl/dam/product/AHI_43545239373332333538?revLabel=4&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373332333538?revLabel=4&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373332333538?revLabel=4&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373332333538?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Griep,5,1,https://www.ah.nl/producten/product/wi59540/a-vogel-echinaforce-druppels-bij-griep,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
112935,A.Vogel Keelspray bij keelpijn,A.Vogel,30 ml,10.99,,,"https://static.ah.nl/dam/product/AHI_43545239373132363534?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373132363534?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373132363534?revLabel=3&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373132363534?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Keelspray,6,1,https://www.ah.nl/producten/product/wi112935/a-vogel-keelspray-bij-keelpijn,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
174995,A.Vogel Dormeasan citroenmelisse sterk**,A.Vogel,30 stuks,15.49,,,"https://static.ah.nl/dam/product/AHI_43545239373436303334?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373436303334?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373436303334?revLabel=3&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373436303334?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Nachtrust,7,1,https://www.ah.nl/producten/product/wi174995/a-vogel-dormeasan-citroenmelisse-sterk,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
399629,A.Vogel Cinuforce neusspray extra sterk+menthol,A.Vogel,20 ml,7.99,,,"https://static.ah.nl/dam/product/AHI_43545239373335343031?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373335343031?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373335343031?revLabel=3&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373335343031?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Neusspray volwassenen,8,1,https://www.ah.nl/producten/product/wi399629/a-vogel-cinuforce-neusspray-extra-sterkmenthol,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
30669,A.Vogel Bioforce creme,A.Vogel,30 g,8.99,,,"https://static.ah.nl/dam/product/AHI_43545239373739303934?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373739303934?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373739303934?revLabel=1&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373739303934?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Huid,9,1,https://www.ah.nl/producten/product/wi30669/a-vogel-bioforce-creme,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
59539,A.Vogel Echinaforce tabletten weerstand1*,A.Vogel,200 stuks,17.49,,,"https://static.ah.nl/dam/product/AHI_43545239373238303837?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373238303837?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373238303837?revLabel=3&rendition=LowRes_JPG&fileType=binary, https://static.ah.nl/dam/product/AHI_43545239373238303837?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary",Drogisterij/Weerstand,10,1,https://www.ah.nl/producten/product/wi59539/a-vogel-echinaforce-tabletten-weerstand1,https://www.ah.nl/zoeken/api/products/search?page=1&size=10&brandSlug=a-vogel,https://www.ah.nl/producten/merk/a-vogel,22-08-2022 14:20:19
