Product_Name,Product_Weight,Price,Image_url,Product_url,Product_Rank,Page_no,Category_url,Page_url,TimeStamp
Trots van Coop filet americain naturel, 150 g ,2.89,https://syndy-content.azureedge.net/media/products/7c816ecb-b45e-4c65-9834-8baac17497d5/images/AW0HA3GItENDpZ-NPK0ohvI./AABKcyf-AwBJDAjZK9VJFA.290x290.jpg,https://www.coop.nl/product/8710725021304/Trots-van-Coop-filet-americain-naturel,1,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Coop Kipfilet voordeelverpakking, 200 g ,4.39,https://syndy-content.azureedge.net/media/products/2d740000-ff27-0003-e567-08d76123067a/images/AW0HA3GItENDpZ-NPK0ohvI./AAB4bSf-AwDE8AjZA8G67w.290x290.jpg,https://www.coop.nl/product/5413848651061/Coop-Kipfilet-voordeelverpakking,2,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Trots van Coop Authentieke gegrilde rosbief, 100 g ,2.99,https://syndy-content.azureedge.net/media/products/0de77deb-a1e2-4eba-a622-9942e333507a/images/AW0HA3GItENDpZ-NPK0ohvI./AAB4bSf-AwD-0QjZA8GrQQ.290x290.jpg,https://www.coop.nl/product/2363260000000/Trots-van-Coop-Authentieke-gegrilde-rosbief,3,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Trots van Coop Authentieke ovengebakken casseler, 120 g ,2.75,https://syndy-content.azureedge.net/media/products/25c30000-ff27-0003-a064-08d7ae30468f/images/AW0HA3GItENDpZ-NPK0ohvI./AAB4bSf-AwDbNwjZA8HJ7w.290x290.jpg,https://www.coop.nl/product/8710725050762/Trots-van-Coop-Authentieke-ovengebakken-casseler,4,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Coop Filet americain voordeel, 250 g ,2.99,https://syndy-content.azureedge.net/media/products/6e790000-ff4b-0003-d7e9-08d67491de90/images/AW0HA3GItENDpZ-NPK0ohvI./AAAZPSf-AwDgvAjYx0-kew.290x290.jpg,https://www.coop.nl/product/8715395161978/Coop-Filet-americain-voordeel,5,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Trots van Coop Authentieke serrano ham, 110 g ,3.79,https://syndy-content.azureedge.net/media/products/0f7e0000-ff41-0003-6c00-08d3fcbaa692/images/AW0HA3GItENDpZ-NPK0ohvI./AAB4bSf-AwCAHQjZA8GrtQ.290x290.jpg,https://www.coop.nl/product/2363291000000/Trots-van-Coop-Authentieke-serrano-ham,6,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Coop Rundercarpaccio, 100 g ,3.79,https://syndy-content.azureedge.net/media/products/3ef90000-ff41-0003-87a5-08d3b0b56c00/images/AW0HA3GItENDpZ-NPK0ohvI./AAAjICf-AwCDYwjZwSKHeQ.290x290.jpg,https://www.coop.nl/product/8710378201931/Coop-Rundercarpaccio,7,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Grillham, 110 g ,2.63,https://syndy-content.azureedge.net/media/products/336a0000-ff41-0003-ec29-08d40e3beb61/images/AW0HA3GItENDpZ-NPK0ohvI./AABKcyf-AwD8LgjZoF_WSg.290x290.jpg,https://www.coop.nl/product/5413848283446/Grillham,8,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Trots van Coop filet americain met ui, 130 g ,2.50,https://syndy-content.azureedge.net/media/products/7244baae-13f4-4789-a8a6-0ba647a237f0/images/AW0HA3GItENDpZ-NPK0ohvI./AABKcyf-AwBOvgjZK9VJOA.290x290.jpg,https://www.coop.nl/product/8710725021335/Trots-van-Coop-filet-americain-met-ui,9,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Boerenmetworst, 150 g ,3.14,https://syndy-content.azureedge.net/media/products/7fa2a255-dd71-45a6-98b2-df6db4e3e52a/images/AW0HA3GItENDpZ-NPK0ohvI./AAB4bSf-AwCT8gjZA8Gm1g.290x290.jpg,https://www.coop.nl/product/5413848283422/Boerenmetworst,10,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Trots van Coop Authentieke gerookte kipfilet, 105 g ,2.99,https://syndy-content.azureedge.net/media/products/25c30000-ff27-0003-ba07-08d7b3a2863b/images/AW0HA3GItENDpZ-NPK0ohvI./AAB4bSf-AwBg1AjZA8Gwlg.290x290.jpg,https://www.coop.nl/product/2393093000000/Trots-van-Coop-Authentieke-gerookte-kipfilet,11,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
Trots van Coop Authentieke carpaccio, 124 g ,4.19,https://syndy-content.azureedge.net/media/products/d3019b0a-bc3a-4a55-a9d4-b19b8ad3bcb6/images/AW0HA3GItENDpZ-NPK0ohvI./AAAYYuAVKCqWigjZ11TptA.290x290.jpg,https://www.coop.nl/product/2376544000000/Trots-van-Coop-Authentieke-carpaccio,12,1,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,23-08-2022 15:11:41
