category_name,category_url
Abfluss-Fee,https://www.dm.de/marken/abfluss-fee-46012
Abtei,https://www.dm.de/marken/abtei-46014
ACE,https://www.dm.de/marken/ace-46044
adidas,https://www.dm.de/marken/adidas-46048
Adonis,https://www.dm.de/marken/adonis-46050
Aeroxon,https://www.dm.de/marken/aeroxon-46064
Afrolocke,https://www.dm.de/marken/afrolocke-54550
AgfaPhoto,https://www.dm.de/marken/agfaphoto-46094
Airwaves,https://www.dm.de/marken/airwaves-46100
AirWick,https://www.dm.de/marken/airwick-46102
Ajona,https://www.dm.de/marken/ajona-47026
ALANA,https://www.dm.de/marken/alana
Albgold,https://www.dm.de/marken/albgold-216550
ALCINA,https://www.dm.de/marken/alcina-47106
Alete bewusst,https://www.dm.de/marken/alete-bewusst
algemarin,https://www.dm.de/marken/algemarin-47124
alkmene,https://www.dm.de/marken/alkmene-47138
Almased,https://www.dm.de/marken/almased-47140
Alpecin,https://www.dm.de/marken/alpecin-47142
alverde MEN,https://www.dm.de/marken/alverde-men
alverde NATURKOSMETIK,https://www.dm.de/marken/alverde-naturkosmetik
always,https://www.dm.de/marken/always
AMORELIE,https://www.dm.de/marken/amorelie-47146
Angelique's Finest,https://www.dm.de/marken/angelique-s-finest-47150
anginetten,https://www.dm.de/marken/anginetten-47152
Anima Aromatics,https://www.dm.de/marken/anima-aromatics-817958
Anti Brumm,https://www.dm.de/marken/anti-brumm-47154
Antikal,https://www.dm.de/marken/antikal-47156
Aok,https://www.dm.de/marken/aok-47158
ApaCare,https://www.dm.de/marken/apacare-47160
Aptamil,https://www.dm.de/marken/aptamil
ARDELL,https://www.dm.de/marken/ardell-47164
Arena,https://www.dm.de/marken/arena-47166
Ariel,https://www.dm.de/marken/ariel
aronal,https://www.dm.de/marken/aronal-47170
Ars Edition,https://www.dm.de/marken/ars-edition-47172
ARTDECO,https://www.dm.de/marken/artdeco
atrix,https://www.dm.de/marken/atrix-47176
Australian BodyCare,https://www.dm.de/marken/australian-bodycare-401246
Autan,https://www.dm.de/marken/autan-47178
AXE,https://www.dm.de/marken/axe
Azzurra,https://www.dm.de/marken/azzurra-47182
b.e. routine,https://www.dm.de/marken/b-e-routine-47028
b&t,https://www.dm.de/marken/b-t-68886
BaByliss,https://www.dm.de/marken/babyliss-68884
babylove,https://www.dm.de/marken/babylove
bac,https://www.dm.de/marken/bac-68882
Bad Heilbrunner,https://www.dm.de/marken/bad-heilbrunner-68880
badedas,https://www.dm.de/marken/badedas-68878
Baldriparan,https://www.dm.de/marken/baldriparan-68876
Balea,https://www.dm.de/marken/balea
Balea Med,https://www.dm.de/marken/balea-med
Balea MEN,https://www.dm.de/marken/balea-men
Balea Professional,https://www.dm.de/marken/balea-professional-216786
Balea Schönheitsgeheimnisse,https://www.dm.de/marken/balea-schoenheitsgeheimnisse-216878
Ballistol,https://www.dm.de/marken/ballistol-68874
Bambinchen,https://www.dm.de/marken/bambinchen-68872
Bambino Mio,https://www.dm.de/marken/bambino-mio-68870
Barebells,https://www.dm.de/marken/barebells-543722
Bärengarten,https://www.dm.de/marken/baerengarten-68866
Barnängen,https://www.dm.de/marken/barnaengen-68864
Bastei Lübbe,https://www.dm.de/marken/bastei-luebbe-68858
batiste,https://www.dm.de/marken/batiste-68856
Bauckhof,https://www.dm.de/marken/bauckhof-68854
Baumhaus,https://www.dm.de/marken/baumhaus-68852
Beadbags,https://www.dm.de/marken/beadbags-68850
Bear Fruits,https://www.dm.de/marken/bear-fruits
Bears with benefits,https://www.dm.de/marken/bears-with-benefits-217488
Beauty Sweeties,https://www.dm.de/marken/beauty-sweeties-68846
beautyblender,https://www.dm.de/marken/beautyblender-217522
BEBA,https://www.dm.de/marken/nestle-beba
bebe,https://www.dm.de/marken/bebe-68844
bebe Young Care,https://www.dm.de/marken/bebe-young-care-68842
bebe Zartpflege,https://www.dm.de/marken/bebe-zartpflege-68840
bebon angel,https://www.dm.de/marken/bebon-angel-68826
Beck Spielwaren,https://www.dm.de/marken/beck-spielwaren-217574
BEE NATURAL,https://www.dm.de/marken/bee-natural-68824
Bel & Bio,https://www.dm.de/marken/bel-bio-68820
Bella Baby Happy,https://www.dm.de/marken/bella-baby-happy-68818
Bella Mamma,https://www.dm.de/marken/bella-mamma-68816
Bell HYPOAllergenic,https://www.dm.de/marken/bell-hypoallergenic-948080
bellybutton,https://www.dm.de/marken/bellybutton-68814
Beltz & Gelberg,https://www.dm.de/marken/beltz-gelberg-68812
Ben&Anna,https://www.dm.de/marken/ben-anna-401346
Bench,https://www.dm.de/marken/bench-68810
