Category_Name,Category_Url,Main_Category
Aardappelen,https://www.plus.nl/producten/aardappelen-groente-fruit/aardappelen,https://www.plus.nl/producten/aardappelen-groente-fruit
Groente,https://www.plus.nl/producten/aardappelen-groente-fruit/groente,https://www.plus.nl/producten/aardappelen-groente-fruit
Voorgesneden groente,https://www.plus.nl/producten/aardappelen-groente-fruit/voorgesneden-groente,https://www.plus.nl/producten/aardappelen-groente-fruit
Verse maaltijdpakketten en salades,https://www.plus.nl/producten/aardappelen-groente-fruit/verse-maaltijdpakketten-en-salades,https://www.plus.nl/producten/aardappelen-groente-fruit
Fruit,https://www.plus.nl/producten/aardappelen-groente-fruit/fruit,https://www.plus.nl/producten/aardappelen-groente-fruit
"Koken, tafelen, barbecue",https://www.plus.nl/producten/koken-non-food-service/koken-tafelen-barbecue,https://www.plus.nl/producten/koken-non-food-service
"Bad, douche, zeep (Oud)",https://www.plus.nl/producten/baby-drogisterij/bad-douche-zeep-oud-,https://www.plus.nl/producten/baby-drogisterij
"Kaarsen, lucifers, aanstekers, brandbare stoffen",https://www.plus.nl/producten/koken-non-food-service/kaarsen-lucifers-aanstekers-brandbare-stoffen,https://www.plus.nl/producten/koken-non-food-service
"Lampen, batterijen",https://www.plus.nl/producten/koken-non-food-service/lampen-batterijen,https://www.plus.nl/producten/koken-non-food-service
Babyvoeding,https://www.plus.nl/producten/baby-drogisterij/babyvoeding,https://www.plus.nl/producten/baby-drogisterij
"Luiers, doekjes",https://www.plus.nl/producten/baby-drogisterij/luiers-doekjes,https://www.plus.nl/producten/baby-drogisterij
Verzorging,https://www.plus.nl/producten/baby-drogisterij/verzorging,https://www.plus.nl/producten/baby-drogisterij
"Flessen, spenen, bekers",https://www.plus.nl/producten/baby-drogisterij/flessen-spenen-bekers,https://www.plus.nl/producten/baby-drogisterij
"Bad, douche",https://www.plus.nl/producten/baby-drogisterij/bad-douche,https://www.plus.nl/producten/baby-drogisterij
Deodorant,https://www.plus.nl/producten/baby-drogisterij/deodorant,https://www.plus.nl/producten/baby-drogisterij
