Product URL,Product image URL,Product name,Amount & unit,Price,Kod/Product code,Product Description
https://apspolska.pl/kieliszek-do-wodki-krista-krosno-50ml.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/b4c550e984fd2ceee44b543b8ac9f962",Kieliszek do wódki Krista Krosno 50ml,,7.98,F576030005057770,
https://apspolska.pl/talerz-do-chipsow-i-dipow-szklany-selene.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/ac55471b01a7c117476d1ef63400a6c3",Talerz do chipsów i dipów szklany Selene,,61.48,DE55683,"Duży talerz z wysokim brzegiem może służyć do serwowania chipsów, chrupek oraz innych przekąsek. Szklana misa posiada wewnątrz dodatkowe naczynie które można wypełnić sosem bądź dipem. 
 –   30szt.!!Materiał wykonania: szkło
Wysokość: 7,6 cm
Średnica: 28,7 cm"
https://apspolska.pl/zestaw-kufli-do-piwa-giant-beer-6-elementow.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/fda076d66b568825560469b66495f995",Zestaw kufli do piwa Giant Beer 6 elementów,Pojemność kufli: 600 ml,110.69,DE1610S6A,"Elegancki zestaw kufli do piwa zawierający 6 kufli o pojemności 600 ml. Doskonale nadaje się na praktyczny prezent. Całość zapakowana jest w eleganckie, prezentowe pudełko.Materiał wykonania: szkło
Pojemność kufli: 600 ml"
https://apspolska.pl/kieliszek-do-szampana-marilyn-rcr-170ml.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/77aaf32a58c846c88fef1030220a6e07",Kieliszek do szampana Marilyn RCR 170ml,170,18.54,DE27280020006,"Wysokiej jakości, elegancki kieliszek do szampana i prosecco. Wykonany z delikatnego szkła. Kieliszek ten charakteryzuje się smukłą, wysoką budową oraz długą nóżką na stabilnej podstawie.Pojemność: 170Wysokość: 24 cmŚrednica: 7 cm"
https://apspolska.pl/kieliszek-do-wina-essential-rcr-430ml.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/0d9c905986d25b84a4838ecd9be2fde5",Kieliszek do wina Essential RCR 430ml,,24.59,DE27288020006,
https://apspolska.pl/kieliszek-do-wodki-alaska-economy-line-45ml.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/fbbfe2cc0ab20c5d5fee0df702ed535e",Kieliszek do wódki Alaska Economy Line 45ml,45 ml,2.80,EC5574,"Lekko rzeźbiony, rozszerzany kieliszek do wódki. Dużą zaletą produktu jest wysoka odporność na uderzenia i zarysowania. Pojemność: 45 ml
Wysokość: 5,5 cm
Średnica: 4,8 cm"
https://apspolska.pl/rekawiczki-nitrylowe-bezpudrowe-rozmiar-m-100szt.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/1075f66810cfb4738725d4b176ae83b0","Rekawiczki nitrylowe bezpudrowe, rozmiar M, 100szt.",,29.05,RNM20,
https://apspolska.pl/rekawiczki-nitrylowe-bezpudrowe-rozmiar-l-100szt.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/6633a524be6ed5b5dc1f74ad5c2ee35e","Rekawiczki nitrylowe bezpudrowe, rozmiar L, 100szt.",,29.05,RNL20,
https://apspolska.pl/kieliszek-do-sherry-opera-rcr-120ml.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/e42dd5ab52f1be76cad2bdb99bd18c6c",Kieliszek do sherry Opera RCR 120ml,120 ml/ 4 Oz,18.54,DE25607020006,"Kieliszek do sherry charakteryzuje się smukłym kształtem oraz zdobioną czaszą. Wygodna, zdobiona nóżka pozwala bardzo wygodnie trzymać go w ręku. Wykonany z delikatnego szkła. Pojemność: 120 ml/ 4 Oz
Wysokość:15,4 cm
Średnica: 6,4 cm"
https://apspolska.pl/tiki-mug-kuna-loa-330ml-11-oz.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/6891be593e372836c4b7e1b5bf6a7d8e",Tiki Mug Kuna Loa 330ml * 11 Oz,330 ml / 11 Oz,61.38,DE00864,"Oryginalny, wyrazisty kubek do serwowania napojów i cocktaili. Charakteryzuje się wysokiej klasy wzornictwem i dbałością o najmniejszy szczegół. Kubki tiki to głównie rzeźbione naczynia, które przeważnie przedstawiają tematykę polinezyjską lub tropikalną. Materiał wykonania: porcelana
Pojemność: 330 ml / 11 Oz
Wysokość: 17 cm
Średnica: 7 cm"
