SearchLocation,SearchKeyword,Url,Featured,BusinessName,PhoneNumber,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,taCount,taRating,WebsiteURL,OpenHours,tripAdvisorID,Categories,PrimaryCategory,Email,Images,PriceRange,Latitude,Longitude,paymentAccepted,generalInfo,socialLinks,Good For Family,Good for Kid,yearInBusiness,Amenities
"Dallas, TX",cosmetology,https://www.yellowpages.com/lewisville-tx/mip/lacy-shirley-at-hair-menders-22071562,No,Lacy Shirley at Hair Menders,(940) 390-9995,635 W Purnell St,Lewisville,TX,75067,US,,,http://www.lacyshirley.com,,,Day Spas > Barbers > Beauty Salons > Cosmetologists,Day Spas,lacy_shirley@hotmail.com,,,33.04239,-97.00779,"check, discover, amex, visa, master card",,,,,,Wheelchair accessible
"Dallas, TX",cosmetology,https://www.yellowpages.com/arlington-tx/mip/perfect-eyebrow-threading-481076427,No,Perfect Eyebrow Threading,(817) 642-8171,4001 W Green Oaks Blvd Ste 215,Arlington,TX,76016,US,,,,"{'WEDNESDAY': '1100-1900', 'MONDAY': '1100-1900', 'THURSDAY': '1100-1900', 'SUNDAY': '0000-1800', 'TUESDAY': '1100-1900', 'FRIDAY': '1100-1900', 'SATURDAY': '1100-1900'}",,Beauty Salons > Cosmetologists > Hair Removal > Skin Care,Beauty Salons,,,,32.68344,-97.19499,,,,,,,
"Dallas, TX",cosmetology,https://www.yellowpages.com/dallas-tx/mip/advanced-skin-fitness-455933181,No,Advanced Skin Fitness,(214) 521-5277,2928 Oak Lawn Ave,Dallas,TX,75219,US,,,http://www.advancedskinfitness.com,"{'WEDNESDAY': '1000-1800', 'MONDAY': '', 'THURSDAY': '1000-1800', 'SUNDAY': '', 'TUESDAY': '1000-1800', 'FRIDAY': '1000-1800', 'SATURDAY': '1000-1600'}",,Skin Care > Beauty Salons > Body Piercing > Body Wrap Salons > Cosmetics & Perfumes > Cosmetologists > Day Spas > Electrolysis > Hair Removal > Health Clubs > Massage Therapists > Medical Clinics > Medical Spas > Tanning Salons > Tattoo Removal,Skin Care,Reception@advancedskinfitness.com,,,32.808155,-96.80932,financing available,"Advanced Skin Fitness offers a wide selection of the most trusted laser, anti-aging treatments, and body contouring treatments in a pampering day spa environment. Advanced Skin Fitness provides results with the most technologically advanced lasers and devices available today. We offer laser hair removal for all skin types including tanned skin and skin of color. Advanced Skin Fitness is one of the pioneer body contouring spas in the Dallas/Fort Worth Metroplex. We currently offer to of the fastest no-downtime, body contouring treatments on the market. such as the Accent XL and VelaShape' elos technology for the treatment for cellulite, volume reduction, and loose skin. Spider Vein therapy is also offered in addition to cellulite and fat reduction treatment so that we can make your legs even more beautiful using our Candela GentleYAG lasing system. Advanced Skin Fitness also carries a full line of skin care products including SkinCeuticals , M'Lis, Obagi , and TendSkin'. Our physician strength products are designed to take your professional treatments a step further with appropriate home care. A variety of plastic surgery options are also available by our board certified plastic surgeon, Dr. Vu Ho. Dr. Ho specializes in facial plastics as well as facial fillers, Botox, and Dysport. Most procedures are safely performed in the office to eliminate costly hospital fees. Hair Restoration is also available at Advanced Skin Fitness. Hair Restoration procedures are performed by Dr. Abraham Armani. Dr Armani will use his artistic technique combined with his medical expertise to give you the hair you are looking for. All of these amazing products and services are provided in our 2, 700 sq ft modern day spa. Our spa boasts 6 treatment rooms, 1 dedicated consultation room, 3 lounge areas including an inviting relaxation room and a full service bar serving many holistic teas as well as a variety of wines.",,,,22 Years,
"Dallas, TX",cosmetology,https://www.yellowpages.com/arlington-tx/mip/wink-studios-475502433,No,Wink Studios,(817) 274-9465,1601 E Lamar Blvd,Arlington,TX,76011,US,,,http://www.arlingtonbeautyschool.com,"{'WEDNESDAY': '0700-1900', 'MONDAY': '0700-1900', 'THURSDAY': '0700-1900', 'SUNDAY': '', 'TUESDAY': '0700-1900', 'FRIDAY': '0700-1900', 'SATURDAY': '0700-1900'}",,Beauty Salons > Cosmetics & Perfumes > Cosmetologists > Skin Care,Beauty Salons,winkstudios@yahoo.com,,,32.76478,-97.0879,"mastercard, cash, debit, visa",Natural Beauty in the blink of an eye,,,,,
"Dallas, TX",cosmetology,https://www.yellowpages.com/irving-tx/mip/everest-salon-15636358,No,Everest Salon,(972) 556-9400,9400 N Macarthur Blvd,Irving,TX,75063,US,,,http://www.everestsalon.com,"{'WEDNESDAY': '0930-1930', 'MONDAY': '0930-1930', 'THURSDAY': '0930-1930', 'SUNDAY': '1100-1800', 'TUESDAY': '0930-1930', 'FRIDAY': '0930-1930', 'SATURDAY': '0930-1930'}",,Beauty Salons > Cosmetologists > Hair Removal > Hair Stylists > Hair Supplies & Accessories,Beauty Salons,,,,32.933098,-96.95189,"discover, amex, mastercard",,,,,17 Years,
"Dallas, TX",cosmetology,https://www.yellowpages.com/plano-tx/mip/sally-beauty-supply-3040004,No,Sally Beauty Supply,(972) 881-0516,1110 E Parker Rd Ste 107,Plano,TX,75074,US,,,,"{'WEDNESDAY': '0900-2000', 'MONDAY': '0900-2000', 'THURSDAY': '0900-2000', 'SUNDAY': '1200-1700', 'TUESDAY': '0900-2000', 'FRIDAY': '0900-2000', 'SATURDAY': '0900-2000'}",,Beauty Supplies & Equipment > Cosmetics & Perfumes > Cosmetologists > Hair Supplies & Accessories,Beauty Supplies & Equipment,,https://i4.ypcdn.com/blob/ee4da198f25322c9060957cc354f0800eda98dd5_228x168_crop.jpg,,33.037125,-96.6983,,,,,,,
"Dallas, TX",cosmetology,https://www.yellowpages.com/irving-tx/mip/something-special-styling-salon-9795,No,Something Special Styling Salon,(972) 252-7718,2117 W Airport Fwy Ste 30,Irving,TX,75062,US,,,,"{'WEDNESDAY': '0830-2200', 'MONDAY': '0700-1130', 'THURSDAY': '0830-2200', 'SUNDAY': '0000-0000', 'TUESDAY': '0830-2200', 'FRIDAY': '0830-2200', 'SATURDAY': '0700-1700'}",,Beauty Salons > Cosmetologists > Hair Braiding > Hair Removal > Hair Replacement > Hair Stylists > Hair Supplies & Accessories > Hair Weaving > Scalp Care,Beauty Salons,somethingspecialstylingsalon@yahoo.com,"https://i4.ypcdn.com/blob/d374fcd0554c23be6e47570b8eb2ac5f28cee7de_228x168_crop.jpg, https://i2.ypcdn.com/blob/1c5cf21903314f93ad277ad80a613effba57ba98_228x168_crop.jpg, https://i4.ypcdn.com/blob/5d3fcba4384a1be8109178be5d4844f29697fbad_228x168_crop.jpg, https://i1.ypcdn.com/blob/de59a61ce2e95107496391a5aac9084c59b7539e_228x168_crop.jpg, https://i2.ypcdn.com/blob/cf7a3d3653cb6d85cfa126fe6eee4506aba174d6_228x168_crop.jpg, https://i1.ypcdn.com/blob/dcdc3012a05c9378ca80de96dc3e30ff0b657f24_228x168_crop.jpg, https://i4.ypcdn.com/blob/409b24ef7018856675050827d65544a78418403b_228x168_crop.jpg, https://i2.ypcdn.com/blob/c0117bb1c2f761deb72876e888003b18a19d8423_228x168_crop.jpg",,32.83773,-96.97306,"debit, paypal, carte blanche","Something Special provides professional service to women in and out of Corporate America. Salon specializes in Healthy Hair, Healthy Weaves, Promoting Hair Growth, Damage Hair Camaflouge, Trendsetting Cuts, Treatments for Overprocessed Hair, Product knowledge and Sales, Healthy Hair Tips. Salon also provides peaceful atmosphere where clients and relax and enjoy Salon visit.",,,,11 Years,Wheelchair accessible
"Dallas, TX",cosmetology,https://www.yellowpages.com/mckinney-tx/mip/simply-beautiful-lashes-478354120,No,Simply Beautiful Lashes,(469) 667-8728,6401 Eldorado Pkwy Ste 306,McKinney,TX,75070,US,,,http://www.simplybeautifullashes.com,"{'WEDNESDAY': '0700-2100', 'MONDAY': '0700-2100', 'THURSDAY': '0700-2100', 'SUNDAY': '0000-0000', 'TUESDAY': '0700-2100', 'FRIDAY': '0700-2100', 'SATURDAY': '0900-1600'}",,Cosmetologists > Beauty Salons,Cosmetologists,,,,33.173897,-96.700294,"visa, master card, discover, debit, cash","Eyelash extensions are perfect for: Active busy lifestyles. Business professionals. Weddings. Photo shoots. Easy daily wear. Competitions. Social events. Graduation. Special occasions. Sports. Gifts!   
 
 
TDLR licensed eyelash extension professionals dedicated to  making you feel & look your very best. Using only TOP-QUALITY products for your health & safety. Sanitary conditions and using premium products made in the USA are our #1 PRIORITY for our eyelash extension salon--your health and safety are as important to us as they are to you!  we're passionate about building long-term relationships with our clients by providing an extraordinary client experience and excellent customer service in a relaxing environment. Eyelash extensions McKinney texas -- check out our ""special offers"" page for our current promotions!  New client specials. Bridal packages. Graduation gifts. Whatever the occasion, discounted prices doesn't mean discounted service at Simply Beautiful Lashes! We dress your eyes with only the highest quality products. Using only adhesive products that are medical grade and made in the USA and US Manufactured lashes that are high quality premium synthetic mink, we have lashes that are tailored to your needs. We even have colored and SWAROVSKI crystal lashes available! We love helping you realize how beautiful your eyes can be!",,,,,
"Dallas, TX",cosmetology,https://www.yellowpages.com/plano-tx/mip/salon-seven-dallas-453939853,No,Salon Seven Dallas,(972) 523-0244,4909 W Park Blvd Ste 151,Plano,TX,75093,US,,,,,,Cosmetologists > Beauty Salons > Day Spas,Cosmetologists,,,,33.02723,-96.79348,,,,,,,
"Dallas, TX",cosmetology,https://www.yellowpages.com/duncanville-tx/mip/wanda-inside-dramatic-results-sewin-weave-extensions-475641096,No,Wanda inside Dramatic Results SewIn Weave & Extensions,(214) 662-5108,111 S Cedar Ridge Dr Ste 101,Duncanville,TX,75116,US,,,,"{'WEDNESDAY': '0900-1700', 'MONDAY': '0000-0000', 'THURSDAY': '0900-1700', 'SUNDAY': '0000-0000', 'TUESDAY': '0900-1700', 'FRIDAY': '0900-1700', 'SATURDAY': '0900-1700'}",,Cosmetologists > Beauty Salons > Beauty Supplies & Equipment > Cosmetic Services > Hair Replacement > Hair Stylists > Hair Weaving,Cosmetologists,,"https://i3.ypcdn.com/blob/04b77934d4668ccf6d15583c5c48db99ca521cd7_228x168_crop.jpg, https://i1.ypcdn.com/blob/ba9810d03b884912d24d30f00e0235518da26ad2_228x168_crop.jpg, https://i2.ypcdn.com/blob/29a0f11b611181804d61299753dd229aad4ebf65_228x168_crop.jpg, https://i1.ypcdn.com/blob/53e78b68833279954152e0fc80d1e7ecb828ec57_228x168_crop.jpg, https://i1.ypcdn.com/blob/1244d7bcc0e9ee60d5b8eabfcf418472f2f64a67_228x168_crop.jpg, https://i1.ypcdn.com/blob/561a144aed321637c5161fa00d440221dd517732_228x168_crop.jpg, https://i1.ypcdn.com/blob/5d38371b1665ea99e90df3b4584e47ce9fb98881_228x168_crop.jpg, https://i2.ypcdn.com/blob/a2e4d761224df8869bde8bba0248c8de7f6ef9e9_228x168_crop.jpg",,32.65084,-96.9259,"master card, debit, visa, check, amex, discover, cash",Hello I am Wanda located in Dramatic Results Salon & Spa and would like to personally welcome you to enjoy a pampered experience of hair care products to hair maintenance. We pride ourselves in customer satisfaction and and having a friendly welcoming environment.,,,,31 Years,Wheelchair accessible
