model,product_name,author,text,rating,date_added
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Margo H.,Great help for my card ministry,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Juan C Depablo,Super fast shipping!!,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Antony,"I love the product, thank God i was able 2 afford the product",5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Marjorie Dorbolo,"There’s nothing to dislike about these stamps, they stick pretty well! Definitely gonna buy more once I run out",5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Kindle Customer,Stamps on sale!!! What a deal! Just ordered more!,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,C Goodall Excellent,Needed some stamps and they look cool. Does the job.,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Richard B,These are fantastic! Look even better once you receive them! These are beyond adorable and support a great cause. Highly suggest !,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Edward Mildebrandt,"Adhesion seems really good. Not sure if they are cheaper at the post office, but it was easier to order them, then to have to go to the Post office",5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Linda Wade,"This stamp design has beautiful bright colors, very cheerful.",5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,J Manzanares,Stamps are very pretty. Should dress up my bills nicely,5,2022-09-13
201712,2017 US Snowy Day Forever Postage Stamps,Ann,Arrived on time in great condition!,5,2022-09-13
201712,2017 US Snowy Day Forever Postage Stamps,Tyre Alston,I thought it would be on a roll but it works fine.,5,2022-09-13
201712,2017 US Snowy Day Forever Postage Stamps,Rosa,These forever stamps represent our country in a special way,5,2022-09-13
201712,2017 US Snowy Day Forever Postage Stamps,AprilDumas,My new patriotic stamp!! A nice change!,5,2022-09-13
201712,2017 US Snowy Day Forever Postage Stamps,AprilDumas ReGina Pickens,Received as promised and in good condition,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Holli Ann,convenient don't have to use water to make them stick,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Roy,These stamps are very pretty. Just as pictured but even prettier.,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,mary wagner,"Absolutely beautiful, THANKYOU so much ❣",5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Robert Merritt,Nothing to complain about. They are good stamps. I would buy again.,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,steve damesworth Jocelyn medley,They do what they do works good legit,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Sandra J.,I bought these bc my daughter needed them quickly. They are beautiful!!,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,L A park,I really like the stamps and enjoy affixing them upon a envelope.,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Dorothy zeigler,Highly satisfied with this purchase!,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Sheila Cadmus,Quality of the stamp and what it represents.,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Xiomy,I want more!!!,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Keep It Simple,"The seller is always on time; the stamps are lovely and different! A very nice ""go to"" seller! :)",5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,maggie,Excellence and will reorder again,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Jake,Reasonable price,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Jia Jian Tin Hayley Amor,"Nice pattern, fast shipping and recimmend.",5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Keep It Simple,Real stamps. Lol. What else is there to review?,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Barbara Moriarta,So excited about these beautiful stamps,5,2022-09-13
