Name,Address,Phone,Email,Website,Url
Aalto University School of Art and Design,Hämeentie 135 C - 00076 HelsinkiFinland,+358 9 47 001,info@taik.fi,http://www.taik.aalto.fi/en/,https://www.modemonline.com/design/design-connections/design-schools
Aarhus School of Architecture,Nørreport 20 - 8000 AarhusDenmark,+45 89 36 00 00,a@aarch.dk,http://aarch.dk,https://www.modemonline.com/design/design-connections/design-schools
ABADIR Accademia di Design e Arti Visive,via Giacomo Leopardi 8 - 95030 CataniaItaly,+39 095 7252310,segreteria@abadir.net,http://www.abadir.net,https://www.modemonline.com/design/design-connections/design-schools
Academie Beeldende Kunsten Maastricht,Herdenkingsplein 12   - 6211 PW  MaastrichtThe Netherlands,+31 (0)43-346 6670,info.abk@hszuyd.nl,http://www.abkmaastricht.nl/,https://www.modemonline.com/design/design-connections/design-schools
"Academy of Arts, Architecture and Design in Prague",Náměstí Jana Palacha 80 - 116 93 PragueCzech Republic,+42 (0)251 098 111,zippeova@vsup.cz,http://www.vsup.cz,https://www.modemonline.com/design/design-connections/design-schools
Academy of Fine Arts and Design Bratislava,Hviezdoslavovo nám. 18 - 81437 BratislavaSlovak Republic,+421 2 594 28 500,,www.afad.sk,https://www.modemonline.com/design/design-connections/design-schools
ADP- Associaciòn de Dissenyadors professionals,Carrer de Balmes 201 - 08006 BarcelonaSpain,+34 93 415 6749,,http://www.adp-barcelona.com,https://www.modemonline.com/design/design-connections/design-schools
Akademie für Gestaltung und Design,Mühldorfstraße 6 - 81671 MunichGermany,,barbara.schmidt@hwk-muenchen.de,http://www.gestalter-im-handwerk.de,https://www.modemonline.com/design/design-connections/design-schools
Architectural Association (AA) School of Architecture,36 Bedford Square - WC1B 3ES  LondonUnited Kingdom,+44 (0)20 7887 400,,http://www.aaschool.ac.uk,https://www.modemonline.com/design/design-connections/design-schools
Art Academy of Latvia,13 Kalpaka boulv. - 1867  RigaLatvia,+371 673 322 02,info@lma.lv; lma@latnet.lv,http://www.lma.lv,https://www.modemonline.com/design/design-connections/design-schools
Art Center College of Design,1700 Lida Street - 91103  PasadenaUnited States,+1 626 396 2200,,http://www.artcenter.edu,https://www.modemonline.com/design/design-connections/design-schools
Artesis Plantijn Hogeschool Antwerpen,Lange Nieuwstraat 101 - 2000 AntwerpenBelgium,+32 03 220 5400,info@artesis.be,http://www.ap.be/,https://www.modemonline.com/design/design-connections/design-schools
Australian Academy of Design,220 Ingles Street - 3207 MelbourneAustralia,+61 3 9676 9000,,http://www.designacademy.edu.au,https://www.modemonline.com/design/design-connections/design-schools
"Bau, Centro Universitario de Diseño de Barcelona","c/ Pujades, 118 - 08005 BarcelonaSpain",+34 93 415 34 74,,http://www.baued.es/,https://www.modemonline.com/design/design-connections/design-schools
Beckmans College of Design,Brahegatan 10 - 114 37 StockholmSweden,+46 8 660 20 20,info@beckmans.se,http://www.beckmans.se/english/,https://www.modemonline.com/design/design-connections/design-schools
Bergen National Academy of the Arts,Strømgaten 1  - 5015 BergenNorway,+47 55 587 300,,tp://www.khib.no/,https://www.modemonline.com/design/design-connections/design-schools
Bergen School of Architecture,Sandviksboder 59–61 Postadr: PB 39 - 5841 BergenNorway,+47 55 36 38 80,,,https://www.modemonline.com/design/design-connections/design-schools
Bezalel Academy of Arts and Design,Mount Scopus P.O.Box 24046   - 91240 Tel AvivIsrael,+972 02 58 93 333,mail@bezalel.ac.il,http://www.bezalel.ac.il/,https://www.modemonline.com/design/design-connections/design-schools
Burg Giebichenstein University of Arts and Design,Neuwerk 7 - 06108 HalleGermany,+49 (0)345 7751 526,,http://www.burg-halle.de/hochschule.html,https://www.modemonline.com/design/design-connections/design-schools
Cape Peninsula University of Technology,"Cape Town, Western Cape Province - 8000  Cape TownSouth Africa",+27 21 959 6767,info@cput.ac.za,http://www.cput.ac.za/,https://www.modemonline.com/design/design-connections/design-schools
Carleton University School of Industrial Design,1125 Colonel By Drive - K1S 5B6 OttawaCanada,+1 613-520-5672,,http://www.id.carleton.ca,https://www.modemonline.com/design/design-connections/design-schools
Carnegie Mellon University,5000 Forbes Avenue - 15213 PittsburghUnited States,+1 412 268 20 00,,http://www.cmu.edu,https://www.modemonline.com/design/design-connections/design-schools
Central Saint Martins,1 Granary Square - N1C 4AA LondonUnited Kingdom,+44 (0)20 7514 7000,info@csm.arts.ac.uk,http://www.csm.arts.ac.uk,https://www.modemonline.com/design/design-connections/design-schools
Centro Universitário Belas Artes,"Rua Dr. Álvaro Alvim, 76 - Sao PauloBrazil",+55 (11) 5576-7300,,http://www.belasartes.br/site/,https://www.modemonline.com/design/design-connections/design-schools
CEPV – ESAA High School of Applied Art Vevey,Avenue Nestlé 1 - 1800 VeveySwitzerland,+41 21 557 14 00,,http://www.cepv.ch/esaa/,https://www.modemonline.com/design/design-connections/design-schools
Chang Gung University,"259 Wen-Hwa 1st Road, Kwei-San - TaoyuanTaiwan",+886 3 2118800,,http://www.cgu.edu.tw,https://www.modemonline.com/design/design-connections/design-schools
China Central Academy of Fine Arts,"8 Huajiadi Nan St., Chaoyang district - 100102 BeijingChina",+86 10 6477 1018,xujia@cafa.edu.cn,http://www.cafa.edu.cn/,https://www.modemonline.com/design/design-connections/design-schools
Coburg University,Friedrich-Streib-Straße 2 - 96450  CoburgGermany,+49 (0)9561 317-319,international@hs-coburg.de,https://www.coburg-university.de,https://www.modemonline.com/design/design-connections/design-schools
Consorzio Polidesign,Campus Bovisa - via Durando 38/a  - 20158 MilanItaly,+39 02 23 99 72 06,,http://www.polidesign.net,https://www.modemonline.com/design/design-connections/design-schools
