Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
"After implant is put in, to achieve symmetry w/ native breast, should I have PS cut/move nipple or remove it during TE exchange?",13-Dec-13,,"I had a SNP sparing uni mastectomy; Tissue Expander exchange scheduled for 2014. We're trying to match the native (left) breast, PS said he might move the right nipple during the exchange surgery. Might be a chance he won't. I'm inclined toward removing nipple if it doesn't line up to the left. I don't want another incision, nor to risk necrosis/infection, just to have another surgery to remove the nipple. I haven't had radiation, and I don't smoke, so maybe the complication risks are slim.","After implant is put in, to achieve symmetry w/ native breast, should I have PS cut/move nipple or remove it during TE exchange?",Before Procedure Only,mastectomy
Had a lumpectomy (grade 1 infiltrating tubular tumor (9mm) I don't want tamoxifen and radiation. How risky is my decision?,2-Jan-14,"Miami, FL","I have a very healthy lifestyle, breastfed all three children (was still breastfeeding when diagnosed with third one) no history of breast cancer in the family (although this was hormonal cancer) Is there anything other than radiation and tamoxifen to lower the risks of an overproduction of estrogen? Is that what triggers this kind of breast cancer?",Had a lumpectomy (grade 1 infiltrating tubular tumor (9mm) I don't want tamoxifen and radiation. How risky is my decision?,Before Procedure Only,lumpectomy
Post op tnbc in left breast.lumpectomy both breasts much smaller. Will I be eligible for reconstructive surgery?,26-Jan-14,,They are now uneven much smaller and no longer firm due to operation and loss of weight.?Will I be eligible for re-constructive surgery to both breasts?,Post op tnbc in left breast.lumpectomy both breasts much smaller. Will I be eligible for reconstructive surgery?,Before Procedure Only,lumpectomy
Is There Something I Can Do to Relieve Breast Pain from Post Surgical Change?,27-Jan-11,australia,"I had a minor lumpectomy 10 years ago to remove a benign cyst. It was done by a general surgeon at a small local hospital. Approx 2 months post surgery, a lump reappeared, which has always been very mobile & checked biannually with mammography & ultrasound. This lump has always been locally tender, but in past 3 months the entire breast has become painful, (cannot lay on that side). Radiologist advised this is due to ""post surgical change & fat necrosis"". Is there a way to relieve the pain?",Is There Something I Can Do to Relieve Breast Pain from Post Surgical Change?,Before Procedure Only,lumpectomy
Does Medicaid (IDPA) Cover Reconstructive Surgery After Lumpectomy?,2-Mar-11,Elgin,I have illinois medicaid or IDPA and had a lumpectomy oct of 2010 due to 2 lumps. my right breast since the surgery is now a cup size different than my left breast. does anyone know if medicaid covers reconstructive surgery or at least breast forms? i have tried calling them but can never get an answer. Thank you,Does Medicaid (IDPA) Cover Reconstructive Surgery After Lumpectomy?,Before Procedure Only,lumpectomy
I Am Considering Breast Reconstruction Using a Spectrum Implant/expander- What Result Can I Expect?,19-Aug-11,,I had a tissue-sparing mastectomy in April. I had chemo but no radiation. I am a 38B. Is a Spectrum implant/expander reliable and produce a positive result most of the time? I think I&#39;d choose a smooth shell (since I read the articles about lymphoma)filled with saline.,I Am Considering Breast Reconstruction Using a Spectrum Implant/expander- What Result Can I Expect?,Before Procedure Only,implant
When Should a Breast Lift Be Done at Time of Expander or Implant?,2-May-12, ,"Hello, I have had a unilateral Mastectomy Right side. My current breast, Left side is a size B. I would like to go a little bigger to possibly a C with reconstruction and implants. I am undecided which is the best method as a few PS reccomend doing a breast lift at the time of the expander and another PS says to wait till the switch out for implants and do it then as I do not know my size. I also have been told that doing a lift at the same time as implants causes capsular contraction.",When Should a Breast Lift Be Done at Time of Expander or Implant?,Before Procedure Only,implant
Possible to Have over the Muscle Breast Augmentation After Mastectomy?,15-Feb-10,NM,"I am post bilateral mastectomy, after 10 years, I finally have expanders. They were placed in Nov. I am having pain 6/10 on one breast area and to the shoulder and arm..?I am afraid that after the implants I will continue having pain. Can the Breast implants be put over the muscle? Or is there an artificial muscle that can be used?

	My concern is how to distinguish breast pain vs cardiac pain in the future. Implant schedule is in April.",Possible to Have over the Muscle Breast Augmentation After Mastectomy?,Before Procedure Only,expander
How Much Will Skin Snap Back After Expanders Are Removed and Implants Placed?,2-Jun-10,indiana,How much will the skin snap back after the tissue expanders are removed and the implants are placed?,How Much Will Skin Snap Back After Expanders Are Removed and Implants Placed?,Before Procedure Only,expander
Do I Need Spacers if I Don't Have Cancer or Will Not Receive Radiation?,14-Nov-12,,"I have a strong family gene of breast cancer. Im probably going to have a double mastectomy before I get the cancer. I would like to have everything done at one time, the removal and the reconstruction at the same time what are my options?",Do I Need Spacers if I Don't Have Cancer or Will Not Receive Radiation?,Before Procedure Only,double mastectomy
"I had a double mastectomy in Jan 2012, with expanders. Is my Implant Bottoming Out? (photo)",26-Nov-12,,"I had a double mastectomy in Jan 2012, with expanders. I had the reconstruction surgery in March. I noticed months later around August that the left side was starting to drop below the crease line. It was about a half inch, and is now about an inch. My surgeon wants to fix it, and I eventually want to, but I am wondering what would happen if I waited another year to fix? What is the recovery time for this?","I had a double mastectomy in Jan 2012, with expanders. Is my Implant Bottoming Out? (photo)",Before Procedure Only,double mastectomy
Complications of Replacing Breast Implants with Smaller Size?,4-Jul-09,New Zealand,I have had a Mastectomy with two stage Breast reconstruction. The 585cc gel Breast implant feels too big for me and I want it changed to 495cc's. Would this mean the implant would move around in the pocket?,Complications of Replacing Breast Implants with Smaller Size?,Before Procedure Only,breast cancer
Is It Okay to Start Filling the Tissue Expanders After Radiation?,29-Mar-11,California,"Thank you all Dr&#39;s for my previous question.An update to my Q I am 38 ,did chemo for breast cancer before surgery,have to do double mast. and after 8 weeks have radiation. After meeting with a PS here is the plan: putting expanders with alloderm at the time of mastectomy but not having it filled untill after healing from rads then start the fills really slowly.Now i am worried that the radiated skin won&#39;t stretch and i dont want to do the dorsi flap thing.Whay is your suggestions? Thanks",Is It Okay to Start Filling the Tissue Expanders After Radiation?,Before Procedure Only,breast cancer
Breast Implant Size for 34C After Mastectomy?,11-Jun-09,new york,"I recently had a bilateral mastectomy and now have a tissue expander. I would like to know, what breast implant size would give me a size 34C after my chemo?",Breast Implant Size for 34C After Mastectomy?,Before Procedure Only,bilateral mastectomy
Is a 32A to a 32C/D Unreasonable for a Bilateral Mastectomy Patient?,29-Jan-13,Hawaii,"I am 5'3, 98 pounds, large 32A. Finishing chemo in 1mo and am debating radiation vs. bilateral mast. I have had a consult with a PS who highly discouraged going from a 32A to a large 32C (which I would like, why not). He said at max he would recommend 400cc's which would bring me to a large B. Going to a large 32C would bring more complications? Im concerned about rippling bc i'm thin. The PS also said silicone implants, in his hands, had higher rates of cap. contracture. thoughts? Thank you!",Is a 32A to a 32C/D Unreasonable for a Bilateral Mastectomy Patient?,Before Procedure Only,bilateral mastectomy
"Why Tissue Expanders? Having Bilateral, Skin Saving Mastectomy With Immediate Reconstruction?",9-Jul-13,Ex-pat in China,"I am deciding which type of reconstruction to have and am wondering why you must have tissue expanders when women having a simple breast enlargement can go from an A to a DD straight away? They must not have that much skin either, having only small breasts to start with. I have an appointment in a week to discuss my options with a surgeon.","Why Tissue Expanders? Having Bilateral, Skin Saving Mastectomy With Immediate Reconstruction?",Before Procedure Only,bilateral mastectomy
Over the Muscle Implant Placement After Radiation Therapy?,17-Mar-09,canada,I have had a bilateral mastectomy. I have under the muscle silicone implants. I had radiation treatment on the right breast and the implant is uncomfortable when using my arm and my muscle is very tight. Is it best to have my implants placed over the muscle? I had gone through the expander process before the implants.,Over the Muscle Implant Placement After Radiation Therapy?,Before Procedure Only,bilateral mastectomy
"Double masectomy 10/15; have 410cc teardrop placed. Right one out of pocket, left one was not placed properly? (Photos)",20-Jul-16,"California, MD",,"Double masectomy 10/15; have 410cc teardrop placed. Right one out of pocket, left one was not placed properly? (Photos)",After Procedure Only,options
When Will Stem Cells Be Available for Breast Reconstruction?,19-Jun-08,,I had my mastectomy operation in 2003. Still waiting for this wonderfull stem cell.,When Will Stem Cells Be Available for Breast Reconstruction?,After Procedure Only,options
