Category_Name,Category_url,Main_Category
 Alle diepvries ,https://www.coop.nl/categorie/boodschappen.diepvries,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvriesgebak,https://www.coop.nl/categorie/boodschappen.diepvries.diepvriesgebak,https://www.coop.nl/categorie/boodschappen.diepvries
IJs,https://www.coop.nl/categorie/boodschappen.diepvries.ijs,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvriespizza,https://www.coop.nl/categorie/boodschappen.diepvries.diepvriespizza,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvriessnacks,https://www.coop.nl/categorie/boodschappen.diepvries.diepvriessnacks,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvries aardappelproducten,https://www.coop.nl/categorie/boodschappen.diepvries.diepvries_aardappelproducten,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvriesgroenten,https://www.coop.nl/categorie/boodschappen.diepvries.diepvriesgroenten,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvriesfruit,https://www.coop.nl/categorie/boodschappen.diepvries.diepvriesfruit,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvriesvis,https://www.coop.nl/categorie/boodschappen.diepvries.diepvriesvis,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvries vleesvervangers,https://www.coop.nl/categorie/boodschappen.diepvries.diepvries_vleesvervangers,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvriesmaaltijden,https://www.coop.nl/categorie/boodschappen.diepvries.diepvriesmaaltijden,https://www.coop.nl/categorie/boodschappen.diepvries
Diepvries bladerdeeg en brood,https://www.coop.nl/categorie/boodschappen.diepvries.diepvries_bladerdeeg_en_brood,https://www.coop.nl/categorie/boodschappen.diepvries
" Alle maaltijden, soepen en salades ",https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Kant en klaar maaltijden,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.kant_en_klaar_maaltijden,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Maaltijdsalades,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.maaltijdsalades,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
 Bijgerecht salades,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.bijgerecht_salades,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Pizza,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.pizza,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Pannenkoeken en poffertjes,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.pannenkoeken_en_poffertjes,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Noodles,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.noodles,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Quiche en hartige taart,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.quiche_en_hartige_taart,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Broodsnacks en wraps,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.broodsnacks_en_wraps,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
Soep,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades.soep,https://www.coop.nl/categorie/boodschappen.maaltijden_soepen_en_salades
" Alle broodbeleg, kaas en vleeswaren ",https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren
Vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.vleeswaren,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren
Zoet broodbeleg,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.zoet_broodbeleg,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren
Hartig broodbeleg,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.hartig_broodbeleg,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren
Broodsalade,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren.broodsalade,https://www.coop.nl/categorie/boodschappen.broodbeleg_kaas_en_vleeswaren
