Category_Name,Category_url,Main_category_url
 Koek ,"/producten/koek,-snoep,-chocolade-en-chips/koek/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
 Chocolade ,"/producten/koek,-snoep,-chocolade-en-chips/chocolade/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
 Snoep ,"/producten/koek,-snoep,-chocolade-en-chips/snoep/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
 Drop ,"/producten/koek,-snoep,-chocolade-en-chips/drop/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
 Chips en popcorn ,"/producten/koek,-snoep,-chocolade-en-chips/chips-en-popcorn/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
 Noten en pinda's ,"/producten/koek,-snoep,-chocolade-en-chips/noten-en-pindas/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
 Toastjes en zoutjes ,"/producten/koek,-snoep,-chocolade-en-chips/toastjes-en-zoutjes/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
" Kauwgum, mint en keelsnoepjes ","/producten/koek,-snoep,-chocolade-en-chips/kauwgum,-mint-en-keelsnoepjes/","https://www.jumbo.com/producten/koek,-snoep,-chocolade-en-chips/"
 Ongeschilde aardappelen ,"/producten/aardappel,-rijst,-pasta/ongeschilde-aardappelen/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
 Biologische aardappelen ,"/producten/aardappel,-rijst,-pasta/biologische-aardappelen/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
 Koelverse aardappelen ,"/producten/aardappel,-rijst,-pasta/koelverse-aardappelen/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
 Vriesverse aardappelen ,"/producten/aardappel,-rijst,-pasta/vriesverse-aardappelen/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
 Aardappelpuree ,"/producten/aardappel,-rijst,-pasta/aardappelpuree/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
 Zoete aardappelen ,"/producten/aardappel,-rijst,-pasta/zoete-aardappelen/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
 Pasta ,"/producten/aardappel,-rijst,-pasta/pasta/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
 Rijst ,"/producten/aardappel,-rijst,-pasta/rijst/","https://www.jumbo.com/producten/aardappel,-rijst,-pasta/"
