Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"Farsight Management, Inc.",,,,6790 Middle Run Rd.,,OH,44622,,(330) 602-8338,,,http://www.usefarsight.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/farsight-management-inc-2869,,,,Enviromental Consulting,,akronhba,,,,,,,,,2022-12-07 09:54:32,The easy way to find businesses and members in the HBA of Portage & Summit Counties
T-Mobile,,,,269 South Village Way,,OH,48188,,(313) 497-5787,,,http://www.t-mobile.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/t-mobile-4321,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:32,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Steve Martin,,,,3170 N. Jackson Blvd,,OH,44685,,(804) 405-7872,,,,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/steve-martin-4402,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Summit Millwork LLC,,,,1619 Main St.,,OH,44221,,(330) 920-4000,,,http://www.summitmillwork.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/summit-millwork-llc-cuyahoga-falls-423,,,,Millwork,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
"S & S Excavating, Inc.",,,,550 Newton St.,,OH,44278,,(330) 784-6132,,,,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/s-s-excavating-inc-375,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Summit County Economic Development Dept.,,,,175 S. Main St.,,OH,44308,,(330) 643-2500,,,,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/county-of-summit-akron-936,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
S&T Bank,,,,491 N. Cleveland Massillon Rd.,,OH,44333,,(330) 664-2911,,,http://stbank.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/s-t-bank-4214,,,,Banking,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Summit County Engineer,,,,538 E. South St.,,OH,44311,,,,,,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/summit-county-engineer-akron-938,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Signet Consulting,,,,8916 Topaz Terrace,,OH,44241,,(330) 620-1879,,,,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/signet-consulting-streetsboro-505,,,,Rehab Builder Training,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Summit County Fiscal Office,,,,175 S. Main St.,,OH,44308,,(330) 643-8091,,,,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/summit-county-fiscal-office-1832,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
"Alpha Phi Alpha Homes, Inc.",,,,662 Wolf Ledges Pky.,,OH,44311,,(330) 376-8787,,,http://www.alphahomes.org,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/alpha-phi-alpha-homes-inc-494,,,,Non Profit Development and Management for low income and elderly,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
"Anstine Drywall, Inc.",,,,2215 E. Waterloo Rd. Unit 406,,OH,44312,,(330) 784-3867,,,http://www.anstinedrywall.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/anstine-drywall-inc-29,,,,Drywall,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Accurate Plumbing & Backflow,,,,2715 Nimishillen Church Road NE,,OH,44721,,(330) 699-5194,,,,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/accurate-plumbing-backflow-4226,,,,Plumbing,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Asphalt Services & Construction,,,,114 Barrington Towne Center #105,,OH,44202,,(330) 995-6044,,,http://www.asphaltservicesandconstruction.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/asphalt-services-construction-34,,,,Asphalt & Concrete Paving,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Akron Public Schools,,,,10 N. Main Street,,OH,44308,,(330) 761-3130,,,http://www.apscareers.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/akron-public-schools-1998,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Alside Supply Center,,,,880 Moe Dr.,,OH,44310,,(330) 630-2192,,,http://www.alside.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/alside-supply-center-1773,,,,,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
"Access Solutions, Inc.",,,,2415 Gilchrist Rd.,,OH,44305,,(330) 753-7499,,,http://www.AccessSolutionsOnline.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/access-solutions-inc-akron-9,,,,Modifications for Disabled Handicapped Access Elevators,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
Akron Beacon Journal/Ohio.com,,,,44 E. Exchange St,,OH,44309,,(330) 996-3348,,,http://www.ohio.com,,Business,,,,https://www.akronhba.com/list,https://www.akronhba.com/list/member/akron-beacon-journal-ohio-com-akron-2729,,,,Advertising,,akronhba,,,,,,,,,2022-12-07 09:54:33,The easy way to find businesses and members in the HBA of Portage & Summit Counties
