Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"Harmony Hill Trucking Co., Inc.*",,,,1919A Washington Street,,AL,36786-4514,,(334) 628-3777,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/harmony-hill-trucking-co-inc-1214,,,,Grain/Feed/Hay,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
"4Green Forestry, Inc.",,,,P.O. Box 640609,,AL,36064,,(334) 300-0387,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/4green-forestry-inc-10571,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
"3M Logistics, LLC*",,,,15901 Hwy 43 South,,AL,36451,,(251) 320-3200,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/3m-logistics-llc-10770,,,,Fresh Produce,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
"Hill, Hill, Carter,Franco,Cole&Black P.C.",,,,425 S. Perry Street,,AL,36104-4235,,(334) 834-7600,,,http://www.hillhillcarter.com,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/hill-hill-carter-franco-cole-black-p-c-5664,,,,Attorneys,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
"Hand Arendall Harrison Sale, LLC",,,,"104 Saint Francis Street, Suite 300",,AL,36602,,(251) 432-5511,,,http://www.handarendall.com,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/hand-arendall-harrison-sale-llc-8023,,,,Attorneys,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
"Haynes Farm, Inc*",,,,5088 Co Hwy 49,,AL,35031-0049,,(205) 429-4126,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/haynes-farm-inc-4662,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
Easy-Haul Intermodal Inc.,,,,15152 River Road,,AL,36532,,(251) 929-3200,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/easy-haul-intermodal-inc-10891,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
Econo Moving Company,,,,4474 Old Cahaba Parkway,,AL,35080,,(205) 428-0608,,,http://www.economoving.org,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/econo-moving-company-7468,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:32,The easy way to find businesses and members in the Alabama Trucking Association
"DMT Trucking, LLC*",,,,"1927 1st Ave North, Suite 701",,AL,35203,,(205) 788-4000,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/dmt-trucking-llc-10614,,,,Building Materials,,alabamatrucking,,,,,,,,,2022-11-25 12:59:33,The easy way to find businesses and members in the Alabama Trucking Association
Alabama State Department of Education,,,,,,AL,36124,,(334) 694-4907,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/alabama-state-department-of-education-10912,,,,,,alabamatrucking,,,,,,,,,2022-11-25 12:59:33,The easy way to find businesses and members in the Alabama Trucking Association
YRC Worldwide Inc.,,,,10990 Roe Avenue,,KS,66211-1213,,(913) 696-6121,,,http://www.yrcw.com,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/yrc-worldwide-inc-1496,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:33,The easy way to find businesses and members in the Alabama Trucking Association
"Young Transport, LLC*",,,,1919 Telegraph Road,,AL,36610-4141,,(251) 457-0263,,,,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/young-transport-llc-mobile-6305,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:33,The easy way to find businesses and members in the Alabama Trucking Association
Yokohama Tire Corporation,,,,5001 Linwood Drive,,AL,35244,,(317) 385-2611,,,http://www.yokohamatire.com,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/yokohama-tire-corporation-1497,,,,Tire Dealers & Manufacturers,,alabamatrucking,,,,,,,,,2022-11-25 12:59:33,The easy way to find businesses and members in the Alabama Trucking Association
XPO Logistics,,,,2200 Airwest Blvd,,IN,46168,,(205) 426-4590,,,http://www.xpo.com,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/xpo-logistics-1108,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:33,The easy way to find businesses and members in the Alabama Trucking Association
YRC Freight,,,,99 Murphree Road,,AL,35217-1311,,(205) 841-6423,,,http://www.yrcfreight.com,,Business,,,,https://business.alabamatrucking.org/list/,https://business.alabamatrucking.org/list/member/yrc-freight-1373,,,,General Freight,,alabamatrucking,,,,,,,,,2022-11-25 12:59:33,The easy way to find businesses and members in the Alabama Trucking Association
