Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
A & A / Res. Cleaning Service,,,,725 Links View Drive,,,,,(770) 831-8849,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Cleaning Service,,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
Fenski Automotive  Center,,,,1010 Peachtree Industrial Blvd,,,,,(770) 945-4556,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,"Automobile Repairs, Overhaul/Gen.Servicing",,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
Kroger Store #687,,,,6001 Highway 20,,,,,(678) 546-2148,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,"Grocers, Retail",,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
Grantworxx Drywall & Painting LLC,,,,1226 Appling Road,,,,,(470) 266-0438,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Handyman Services,,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
Friendly Man Handyman Services,,,,4560 Cheeley Drive,,,,,(678) 327-5810,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Handyman Services,,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
"Pine Enterprises, LLC",,,,796 Brogdon Road,,,,,(770) 614-9664,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Sewer/Septic Tank/Cesspool Service,,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
HAAM Squad LLC,,,,725 Brogdon Road,,,,,(303) 669-4238,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Truck Repair,,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
Kaiser Permanente,,,,1435 Broadmoor Blvd.,,,,,(404) 364-7053,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Health Maintenance Organization (Hmo),,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
"Wells Fargo Bank, NA",,,,4681 Nelson Brogdon Blvd,,,,,(704) 383-0011,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Financial Institution,,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
"Adams & Sons Roofing, Inc.",,,,4515 Bamford Drive,,,,,(770) 271-7075,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,Roofing Contractors,,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
"Alan Densmore, Inc Contractor",,,,4483 Brogdon Park Court,,,,,(770) 945-0800,,,,,Business,,,,https://cityofsugarhill.com/app/business-list/,,,,,"Contractors, Heavy Const.Other Than Bldg.",,cityofsugarhill,,,,,,,,,2022-12-03 10:47:01,
