Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
""" Fast Glass Mirrors and More """,,,,3086 Cherokee Street NW,,GA,30144,,(470) 428-8292,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/60f6d9152d842e195a1c5bdf,,34.0288278,-84.60911240000001,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
"""Social Pro Video""",,,,Your Legacy Through the Lens,,GA,30022,,404-883-8202,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5fa444fc562b0707c86ba2e8,,34.0704429,-84.27421489999999,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
"""TheRealEstateJoe"" - Joe Hammonds-Swain, REALTOR&#174;",,,,"117 Towne Lake Parkway, Suite 100",,GA,30188,,770-324-3422,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5eb07cf40defef66d350b45c,,34.1016285,-84.5227853,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
$20 Chiropractic- Hickory Flat,,,,6768 Hickory Flat Hwy #114,,GA,30115,,7705471155,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6356d38246a80b0577242ddb,,34.1705668,-84.4171537,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
&#8216;Swain & Son Inc,,,,,,GA,,,678-249-9860,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5f5f72980a9bcd3f337b6570,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
&#8220;I Do&#8221; Bridal Alterations,,,,,,GA,,,6786294314,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6379b7127dccb931da3da57e,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
''Maria Sims Group'',,,,"185 West Main Street, Suite A",,GA,30114,,404-805-0673,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6303ba4b03c9ab24684a04e6,,34.236615,-84.4920234,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
'Moments with B.' Photography,,,,,,GA,,,4049897553,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/62cf1205423c86785002fe55,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
'Safe Play Solutions LLC' Playgrounds,,,,,,GA,,,6783508403,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/61954421ea9c335eec103a34,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
-Spirit Led Customs Printing & Embroidery,,,,,,GA,,,6788266977,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/61e0a471dd60323a3c459033,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
0 to 400 Drone Services,,,,,,GA,,,7195888214,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6170a554357619151f6f4374,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
10.10 Contracting,,,,185 West Main St Suite I,,GA,30114,,404 953 2982,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/62bd7c5fb6133c6596153363,,34.2366065,-84.49200499999999,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
123totalfitness,,,,4016 Nine McFarland Dr,,GA,30004,,9544651676,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/63696a650a6b7869442a636e,,34.1361936,-84.25029119999999,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
1st and goal collectibles,,,,6109 hickory flat highway,,GA,30115,,678-994-7060,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/633d9d4abfbc881d2b590b0b,,34.1777818,-84.4222314,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
3 Damn Days,,,,,,GA,,,4046438133,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5fb4382cce0bdc7dfd1c2796,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
33 North Homes & Construction LLC,,,,6835 Shiloh Rd E Suite C8,,GA,30005,,14049928752,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6079e2b7d71f6c2d6b71bcd9,,34.1088049,-84.2019854,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
3B Land Solutions,,,,500 pinecrest way,,GA,30115,,7709905844,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6256d8bc279a6b2e852a0ad2,,34.1790551,-84.4990103,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
3b Land Solutions,,,,500 Pinecrest Way,,GA,30115,,770-990-5844,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/625d9f875f4ab60226260d15,,34.1790551,-84.4990103,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
723 Creative | Graphic Design,,,,,,GA,,,7707652955,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5eacde98e89f78582861ac3b,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
A Medicare-Made-Easy Insurance Agency Team,,,,826 Holly Ridge,,GA,30115,,678.807.8414,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5fc4353e97c17c039a725d24,,34.2508652,-84.32674890000001,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
A&A Residential Concrete,,,,,,GA,,,4043191066,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6336f240fd2a6267c54e4afe,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
A&M Kitchen,,,,100 Hearthstone Walk,,GA,30189,,770-241-7392,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/60e9be8341ff4b6ad629a434,,34.1002706,-84.54767009999999,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
A&P | Painting and Flooring,,,,9910 Highway 92 suite 220,,GA,30188,,4703009060,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6005ce58f323b127a541b32e,,34.0855965,-84.5233248,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
A. T. Martin Home Inspections,,,,"341, Jesse martin trail",,GA,30115,,7709067294,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/637b6f74ad43f118034d54e2,,34.2331211,-84.4323035,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
A1 Waterproofing & Foundation Solutions,,,,2400 Herodian Way SE #220,,GA,30080,,4044227992,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6376a982665a90077b366f95,,33.8942556,-84.4736009,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
ABOVE AND BEYOND LIFE,,,,2489 SANDTOWN RD SW,,GA,30060,,6038311913,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5fa8291da517d92b127748b6,,33.8931494,-84.5567176,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
Absolute Plumbing,,,,,,GA,,,678-499-2124,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/63976aa137e873172843d48d,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
Ace of Trade$ LLC,,,,,,GA,,,(678) 549-4571,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/6312c4bb19ba1173da50924c,,,,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
Acopia Home Loans,,,,"8744 Main Street, Suite 402",,GA,30188,,4046426700,,,,,Business,,,,https://cherokeeconnectga.com/directory/,https://cherokeeconnectga.com/directory/#!biz/id/5f33e61f5495ff1775020d7f,,34.0987964,-84.5208262,Business Service,,cherokeeconnectga,,,,,,,,,2022-12-13 11:42:59,
