Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
ANATOLIA CAFE,,,,52 PEACHTREE ST NW,,GA,30303,,404-589-8008,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
MEEHANS PUBLIC HOUSE,,,,200 PEACHTREE ST,,GA,30303,,770-433-1920,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
GIBNEYS PUB,,,,231 PEACHTREE CTR AVE STE A07,,GA,30303,,404-688-0928,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
MY FRIENDS BOTTLE SHOP,,,,275 MEMORIAL DR STE SE STE A,,GA,30312,,999-999-9999,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
STATS,,,,300 MARIETTA ST NW STE 101 &amp; 203,,GA,30313,,404-885-1472,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
TWELVE DOWNTOWN,,,,400 W PEACHTREE ST NW,,GA,30308,,404-418-1212,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
SIX FEET UNDER PUB &amp; FISHHOUSE,,,,437 MEMORIAL DRIVE SE,,GA,30312,,404-523-6664,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
GRANT CENTRAL,,,,451 CHEROKEE AVE SE,,GA,30312,,404-523-8900,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
GRANT PARK MARKET,,,,519 MEMORIAL DR SE STE A4,,GA,30312,,404-330-8014,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
SHAKE SHACK,,,,670 DEKALB AVE NE STE 103,,GA,30312,,470-377-8697,,,,,Business,,,,https://abita.com/find-abita?location=,,,,,Abita Bar and Store,,abita,,,,,,,,,2022-12-05 12:19:02,Find Abita - Abita Beer
