Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
RSM US LLP,,,,"201 1st Street SE, Ste 800",,IA,52401,,(319) 298-5333,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/RSM-US-LLP-4985,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
CliftonLarsonAllen LLP,,,,"600 3rd Ave SE, Suite 300",,IA,52401  1619,,(319) 363-2697,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/CliftonLarsonAllen-LLP-5801,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
Savant Capital,,,,221 3rd Ave. SE Suite 215,,IA,52401  1419,,(319) 364-2945,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/Savant-Capital-5991,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"q2Advantage, LLC",,,,1012 Rolling Glen Drive,,IA,52302,,(319) 491-5842,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/q2Advantage,-LLC-9424",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"Hogan - Hansen, PC",,,,"2750 1st Ave NE,  Ste 150",,IA,52402  4841,,(319) 366-8267,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/Hogan-Hansen,-PC-610",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
BerganKDV,,,,"417 1st Ave SE, Suite 300",,IA,52401  4832,,(319) 294-8000,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/BerganKDV-5770,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"Honkamp & Co., P.C.",,,,1751 Boyson Road Ste A,,IA,52233  2313,,(319) 378-3370,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/Honkamp-Co,-PC-5850",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"BGHN Associates, P.C.",,,,1845 51st St NE,,IA,52402,,(319) 366-8400,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/BGHN-Associates,-PC-9601",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
LattaHarris LLP,,,,"3037 Center Point Rd NE, Ste A",,IA,52402  4074,,(319) 366-2163,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/LattaHarris-LLP-5882,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"Frank G. Becicka, P.L.C.",,,,"3150 E Avenue NW, Ste 108",,IA,52405  2900,,(319) 390-0837,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/Frank-G-Becicka,-PLC-5835",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"Strategy Solutions, Inc.",,,,1601 Fox Trail Drive NE,,IA,52402,,(319) 360-9123,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/Strategy-Solutions,-Inc-9661",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
Broghammer & Duncan PC,,,,1574 42nd St NE,,IA,52402  3078,,(319) 378-0621,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/Broghammer-Duncan-PC-5782,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"TDT CPAs and Advisors, PC",,,,1700 42nd St NE,,IA,52402  3000,,(319) 393-2374,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/TDT-CPAs-and-Advisors,-PC-3990",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
CFO Systems LLC,,,,,,,,,(515) 890-2993,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/CFO-Systems-LLC-9859,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
The Brems Group LLP,,,,PO Box 1386,,IA,52406  1386,,(319) 364-0101,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/The-Brems-Group-LLP-5865,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
ESG Professional Accountants,,,,240 33rd Ave SW,,IA,52404,,(866) 211-6984,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/ESG-Professional-Accountants-7141,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"Kris G. Gulick CPA, P.L.C.",,,,2103 Linmar Dr NE,,IA,52402,,(319) 360-9161,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/Kris-G-Gulick-CPA,-PLC-5844",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
Iowa City VA Health Care System,,,,601 Hwy 6 W,,IA,52246,,(319) 338-0581,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Accountants/Iowa-City-VA-Health-Care-System-9444,,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
"St. John & Gielau, LLP",,,,"4840 N River Blvd NE, Ste 500",,IA,52411  6662,,(319) 373-9300,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Accountants/St-John-Gielau,-LLP-5979",,,,Accountants,,cedarrapids,,,,,,,,,2022-12-08 11:22:01,
Pepsi Beverages Co,,,,400 6th Ave SE,,IA,52401,,(319) 365-9135,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Beverage-BottlersDistributors/Pepsi-Beverages-Co-1050,,,,Beverage Bottlers/Distributors,,cedarrapids,,,,,,,,,2022-12-08 11:22:03,
Iowa Beverage,,,,11125 High Life Ct SW,,IA,52404  7602,,(319) 848-8275,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Beverage-BottlersDistributors/Iowa-Beverage-695,,,,Beverage Bottlers/Distributors,,cedarrapids,,,,,,,,,2022-12-08 11:22:03,
Coca-Cola Atlantic Bottling,,,,851 66th Ave SW,,IA,52404  4708,,(319) 362-3104,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Beverage-BottlersDistributors/CocaCola-Atlantic-Bottling-6704,,,,Beverage Bottlers/Distributors,,cedarrapids,,,,,,,,,2022-12-08 11:22:03,
Keurig Dr. Pepper,,,,1051 27th Ave SW,,IA,52404  3424,,(319) 366-7131,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Beverage-BottlersDistributors/Keurig-Dr-Pepper-960,,,,Beverage Bottlers/Distributors,,cedarrapids,,,,,,,,,2022-12-08 11:22:03,
"7G Distributing, LLC",,,,9925 6th St SW,,IA,52404  9074,,(319) 848-2337,,,,,Business,,,,https://web.cedarrapids.org/allcategories,"https://web.cedarrapids.org/Beverage-BottlersDistributors/7G-Distributing,-LLC-2083",,,,Beverage Bottlers/Distributors,,cedarrapids,,,,,,,,,2022-12-08 11:22:03,
Crumbl Cookies,,,,1005 Blairs Ferry Road NE Suite 50,,IA,52402,,(319) 259-6347,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Bakers/Crumbl-Cookies-9657,,,,Bakers,,cedarrapids,,,,,,,,,2022-12-08 11:22:08,
Great Harvest Bread Company,,,,5070 Lindale Drive NE,,IA,52402  6209,,(319) 826-6357,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/Bakers/Great-Harvest-Bread-Company-5419,,,,Bakers,,cedarrapids,,,,,,,,,2022-12-08 11:22:08,
McGrath Kia,,,,1020 N Center Point Road,,IA,52233,,(319) 249-6019,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/AutomobileTruckVans/McGrath-Kia-9418,,,,Automobile/Truck/Vans,,cedarrapids,,,,,,,,,2022-12-08 11:22:12,
McGrath Westdale Used Car Superstore,,,,3220 Wiley Blvd SW,,IA,52404,,(888) 903-5321,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/AutomobileTruckVans/McGrath-Westdale-Used-Car-Superstore-6298,,,,Automobile/Truck/Vans,,cedarrapids,,,,,,,,,2022-12-08 11:22:12,
McGrath Coralville Used Car Superstore,,,,404 2nd ST,,IA,52241,,(888) 734-2716,,,,,Business,,,,https://web.cedarrapids.org/allcategories,https://web.cedarrapids.org/AutomobileTruckVans/McGrath-Coralville-Used-Car-Superstore-6296,,,,Automobile/Truck/Vans,,cedarrapids,,,,,,,,,2022-12-08 11:22:12,
