Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"Stewart, Martin, Dudley & Webb, P.C.",,,,"600 S. Tyler Street, Suite 2500",,TX,79101,,(806) 374-7576,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Stewart,-Martin,-Dudley-Webb,-PC-344",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
Myrna l. Hill CPA,,,,2700 S Western Ste 800,,TX,79109,,(806) 354-0499,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,https://web.amarillo-chamber.org/Accountant-Certified-Public/Myrna-l-Hill-CPA-1048,,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"CMMS CPAs & Advisor PLLC -- An Atlas Navigators, LLC Firm",,,,801 S Fillmore Suite 600,,TX,79101,,(806) 373-6661,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/CMMS-CPAs-Advisor-PLLC-An-Atlas-Navigators,-LLC-Firm-846",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"Gregory A. Ogburn, CPA, P.C.",,,,5600 Bell St Ste 111,,TX,79109  6288,,(806) 418-6848,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Gregory-A-Ogburn,-CPA,-PC-3476",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
Victor B. Glenn C P A,,,,"2700 S Western, Suite 600",,TX,79109  1536,,(806) 358-8997,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,https://web.amarillo-chamber.org/Accountant-Certified-Public/Victor-B-Glenn-C-P-A-555,,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"Brown, Graham & Company, P.C.",,,,7431 Continental Pkwy,,TX,79119,,(806) 355-8241,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Brown,-Graham-Company,-PC-77",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"Wilson Haag, PLLC",,,,418 S Polk Ste 200,,TX,79101,,(806) 372-3331,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Wilson-Haag,-PLLC-269",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
Office Service Systems Inc.,,,,2004 S Polk St,,TX,79109  2650,,(806) 322-4237,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,https://web.amarillo-chamber.org/Accountant-Certified-Public/Office-Service-Systems-Inc-3073,,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"Johnson & Sheldon, PLLC",,,,500 Taylor Suite 200  ANB Plaza II,,TX,79101,,(806) 371-7661,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Johnson-Sheldon,-PLLC-551",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
LPT CPAs + Advisors PLLC,,,,801 S Fillmore Ste 420,,TX,79101,,(806) 373-4884,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,https://web.amarillo-chamber.org/Accountant-Certified-Public/LPT-CPAs-Advisors-PLLC-858,,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"Doshier Pickens & Francis, LLC",,,,301 S Polk Ste 800,,TX,79101,,(806) 373-3011,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Doshier-Pickens-Francis,-LLC-118",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"L. Kruckeberg, CPA LLC",,,,3221 Commerce St.,,TX,79109,,(806) 553-1245,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/L-Kruckeberg,-CPA-LLC-6348",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"Lemert Holder & Ohm, PLLC",,,,600 S Tyler St. Suite 2900,,TX,79101  2406,,(806) 373-7961,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Lemert-Holder-Ohm,-PLLC-3838",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
"Glenda McCrary, PC",,,,"1619 S Kentucky St., Ste D1800",,TX,79102  5221,,(806) 359-5252,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,"https://web.amarillo-chamber.org/Accountant-Certified-Public/Glenda-McCrary,-PC-1071",,,,Amarillo Accountant Certified Public,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:29,
Puckett Place Apartments,,,,3447 Amherst Dr,,TX,79109,,(806) 884-4460,,,,,Business,,,,https://web.amarillo-chamber.org/allcategories,https://web.amarillo-chamber.org/Apartment-Information-Service/Puckett-Place-Apartments-9883,,,,Amarillo Apartment Information & Service,,amarillo-chamber,,,,,,,,,2022-12-14 10:55:39,
