Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Lamar County Board of Education,,,,"100 Victory Lane, Barnesville",,GA,30204,,(770) 358-5891,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/barnesville-lamar-county-board-of-education-238,,,,County Government,,barnesville,,,,,,,,,2022-11-22 12:19:50,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
"Deck'em Pest Services, Inc",,,,"626 Piedmont Rd, Barnesville",,GA,30204,,(770) 358-9944,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/deck-em-pest-services-inc-barnesville-1418,,,,Pest Control,,barnesville,,,,,,,,,2022-11-22 12:19:50,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Crimson Movers,,,,Barnesville,,GA,30204,,(678) 856-5841,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/crimson-movers-1385,,,,"Moving & Delivery Services, Real Estate",,barnesville,,,,,,,,,2022-11-22 12:19:50,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Copeland Service Company,,,,"171 Hoyt Rd, Milner",,GA,30257,,(678) 572-7814,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/copeland-service-company-1419,,,,Contractors,,barnesville,,,,,,,,,2022-11-22 12:19:50,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Carpet Cure,,,,"115 Zebulon St,, Barnesville",,GA,30204,,(478) 405-9138,,,http://www.mycarpetcure.com,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/carpet-cure-45,,,,Cleaning Services,,barnesville,,,,,,,,,2022-11-22 12:19:50,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
CJs Carpet Cleaning,,,,,,,30204,,(727) 639-4278,,,http://Www.cjscarpetclean.com,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/cjs-carpet-cleaning-1399,,,,Cleaning Services,,barnesville,,,,,,,,,2022-11-22 12:19:50,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Country Oaks Farm & Home Supply,,,,"659 Veterans Parkway, Barnesville",,GA,30204,,(770) 358-1454,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/country-oaks-farm-home-supply-1289,,,,"Retail, Farm Supply Store",,barnesville,,,,,,,,,2022-11-22 12:19:50,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
City of Milner,,,,"P.O. Box 99/ 100 Greenwood St., Milner",,GA,30257,,(770) 358-1604,,,http://www.milnerga.com,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/city-of-milner-milner-47,,,,City Government,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Coldwell Banker Access Realty,,,,,,,30204,,(678) 952-0725,,,https://jtaylor.mycbhomes.com/,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/coldwell-banker-access-realty-1369,,,,Real Estate,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
"Continental Tire North America, Inc.",,,,"160 Aldora St., Barnesville",,GA,30204,,(770) 358-1150,,,http://www.continental-corporation.com,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/continental-tire-north-america-inc-barnesville-50,,,,Manufacturing,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Barnesville Kiwanis Club,,,,"307 Redbud Drive, Barnesville",,GA,30204,,(770) 584-3448,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/barnesville-kiwanis-club-103,,,,Community Organization,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
"Bankston Lumber Company, Inc.",,,,"941 Veterans Parkway, Barnesville",,GA,30204,,(770) 358-2800,,,http://www.bankstonlumber.com,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/bankston-lumber-company-inc-barnesville-21,,,,Lumber & Building Supplies,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Barnesville High and Industrial /Booker  Schools Alumni Association,,,,"P.O. Box 833, Barnesville",,GA,30204,,(770) 358-0615,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/barnesville-high-and-industrial-booker-schools-alumni-association-26,,,,Education,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Barnesville Marble & Granite Company,,,,"124 Railroad Street, Barnesville",,GA,30204,,(770) 358-1470,,,http://www.barnesvillemarblegranite.com,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/barnesville-marble-granite-company-barnesville-29,,,,Funeral Services,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
Buggytown Gold & Silver,,,,"789 Vetrans Parkway, Barnesville",,GA,30204,,(770) 560-3138,,,,,Business,,,,https://barnesville.org/list,https://barnesville.org/list/member/buggytown-gold-silver-1374,,,,Retail,,barnesville,,,,,,,,,2022-11-22 12:19:51,The easy way to find businesses and members in the Barnesville-Lamar County Chamber of Commerce
