Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Mercy HealthPlex - Anderson,,,,7495 State Road,,OH,45255,,(513) 624-1871,,,http://www.mercyhealthplex.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/mercy-healthplex-anderson-1299,,,,Fitness,,andersonareachamber,,,,,,,,,2022-12-09 11:06:06,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Mt. Washington Florist,,,,1967 Eight Mile Road,,OH,45255,,(513) 474-4158,,,http://www.mtwashingtonflorist.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/mt-washington-florist-1313,,,,Florist,,andersonareachamber,,,,,,,,,2022-12-09 11:06:06,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
"Direct Source International, Inc.",,,,3737 Roundbottom Road,,OH,45244,,(513) 561-3736,,,http://www.directsourceintl.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/direct-source-international-inc-2281,,,,Manufacturers/Industrial Sales & Services,,andersonareachamber,,,,,,,,,2022-12-09 11:06:06,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Mort and McQueary CPAs,,,,1241 Nagel Road,,OH,45255,,(513) 834-9034,,,https://www.mm-cpas.com/,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/mort-and-mcqueary-cpas-2104,,,,Accounting,,andersonareachamber,,,,,,,,,2022-12-09 11:06:06,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Lundrigan Law Group,,,,"1080 Nimitzview Dr, Suite 201",,OH,45230,,(513) 813-7807,,,http://www.lundrigan-law.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/lundrigan-law-group-2447,,,,Legal Services,,andersonareachamber,,,,,,,,,2022-12-09 11:06:06,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
National Exemplar Restaurant,,,,6880 Wooster Pike,,OH,45227,,(513) 271-2103,,,http://www.nationalexemplar.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/national-exemplar-restaurant-3922,,,,Restaurants,,andersonareachamber,,,,,,,,,2022-12-09 11:06:06,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Norris Products Corp,,,,1413 Apple Farm Lane,,OH,45230,,(513) 688-7300,,,http://www.norriscorp.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/norris-products-corp-2277,,,,Retail,,andersonareachamber,,,,,,,,,2022-12-09 11:06:06,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
"New Housing Ohio, Inc",,,,"4055 Executive Park Dr, Suite 125",,OH,45241,,(513) 554-4567,,,http://www.newhousingohio.org,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/new-housing-ohio-inc-1979,,,,Volunteer / Non-Profit Community Organizations,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
New England Club,,,,8135 Beechmont Avenue,,OH,45255,,(513) 474-2582,,,http://www.holidaytouch.com/our-communities/new-england-club,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/new-england-club-1325,,,,Assisted Living,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Ohio River Valley Water Sanitation Commission,,,,5735 Kellogg Ave,,OH,45230,,(513) 231-7719,,,http://www.orsanco.org,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/ohio-river-valley-water-sanitation-commission-2694,,,,Waste,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Outback Steakhouse,,,,7731 Five Mile Road,,OH,45230,,(513) 624-8181,,,http://www.outback.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/outback-steakhouse-1336,,,,Restaurants,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Orangetheory Fitness - Anderson Township,,,,7632 Beechmont Ave,,Ohio,45255,,(513) 795-8085,,,https://www.orangetheory.com/en-us/locations/ohio/anderson-township/7632-beechmont-ave/,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/orangetheory-fitness-anderson-township-cincinnati-4133,,,,Fitness,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
CMsquared LLC,,,,5777 Kellogg Ave,,OH,45230,,(513) 827-6890,,,http://www.cmsqrd.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/cmsquared-llc-3916,,,,Construction/Contracting & Related Services,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Crunch Fitness,,,,7520 Beechmont Ave,,OH,45255,,(513) 233-0348,,,https://www.crunch.com/locations/4,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/crunch-fitness-2707,,,,Fitness,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Cincinnati Vapor Trail,,,,545 Clough Pike Ste. 600A,,OH,45244,,(513) 388-9600,,,,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/cincinnati-vapor-trail-3996,,,,Retail,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Chicken Salad Chick,,,,7919 Beechmont Ave,,Ohio,45255,,(513) 388-9111,,,http://www.chickensaladchick.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/chicken-salad-chick-3937,,,,Restaurants,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Curry Electric Inc.,,,,"533 Old St, Rt 74",,OH,45244,,(513) 528-5454,,,http://www.curryelectric.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/curry-electric-inc-1126,,,,Electrical Contractors,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Clermont Chamber of Commerce,,,,4355 Ferguson Drive,,OH,45245,,(513) 576-5000,,,http://www.clermontchamber.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/clermont-chamber-of-commerce-2408,,,,Chamber of Commerce,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Cinci Sicles,,,,7125 Thorndale Ln.,,Ohio,45244,,(513) 515-2839,,,,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/cinci-sicles-4010,,,,Food & Beverage,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
Coldwell Banker West Shell - Josie O'Toole,,,,2721 Erie Ave,,OH,45230,,(513) 404-3773,,,http://josieotoole.cbintouch.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/coldwell-banker-west-shell-josie-o-toole-3928,,,,Real Estate - Residential,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
"Gleason Builders, LLC",,,,4122 Roland Creek Dr.,,OH,45245,,(513) 509-9364,,,http://www.gleasonbuilders.com,,Business,,,,https://www.andersonareachamber.org/list,https://www.andersonareachamber.org/list/member/gleason-builders-llc-1963,,,,Construction/Contracting & Related Services,,andersonareachamber,,,,,,,,,2022-12-09 11:06:07,The easy way to find businesses and members in the Anderson Area Chamber of Commerce
