Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Adams/Brown Recycling Center,,,,9262 Mt. Orab Pike,,OH,45121,,(937) 378-3431,,,http://browncountysolidwaste.org,https://www.facebook.com/AdamsBrownRecycling/,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/adams-brown-recycling-center-9,,,,Recycling,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
"J. D Stine, PE & Associates, Inc",,,,109 S. Main Street,,OH,45106,,(513) 734-4333,,,,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/j-d-stine-pe-associates-inc-126,,,,Engineers,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
InFocus Real Estate Group,,,,442 Home St.,,OH,45121,,(513) 752-2767,,,https://www.infocusrealestategroup.com/,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/infocus-real-estate-group-870,,,,Real Estate,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
"iDea Zone Marketing, LLC",,,,1032 Madison Ave,,KY,41011,,(513) 861-1400,,,http://www.ideazonemarketing.com,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/idea-zone-marketing-llc-901,,,,Advertising & Media,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
I68 Ministries,,,,3491 Kyles Lane,,OH,45154,,(513) 716-0692,,,,https://www.facebook.com/I68-Ministries-126031280751803/?ref=page_internal,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/i68-ministries-122,,,,Community & Civic Organizations,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
Instant Marketing,,,,,,OH,45154,,(937) 213-0435,,,,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/instant-marketing-124,,,,Advertising & Media,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
"Jill Hall, Brown County Auditor",Mrs. Jill Hall,Jill,Hall,800 Mt. Orab Pike,,OH,45121,,(937) 378-6398,,,http://browncountyauditor.org,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/jill-hall-brown-county-auditor-127,,,,Individual,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
Jethro's Place,,,,1830 US 52,,OH,45101,,,,,,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/jethro-s-place-782,,,,Casual Dining,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
Jacob's Ladder Resale Boutique,,,,103 N. Main St.,,OH,45121,,,,,,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/jacob-s-ladder-resale-boutique-829,,,,Shopping & Specialty Retail,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
Pitzer Farms,,,,9943 Cold Corner Rd,,OH,45130,,(513) 518-9010,,,,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/pitzer-farms-974,,,,Agriculture,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
Howard Hanna Realtors,,,,309 N. High Street,,OH,45154,,(937) 444-1771,,,http://www.herrealtors.com,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/howard-hanna-realtors-946,,,,Real Estate,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
Hunter Consulting,,,,,,,,,,,,,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/hunter-consulting-550,,,,Business & Professional Services,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
H&R Block Mt. Orab,,,,209 East Main Street,,OH,45154,,(937) 444-3995,,,,https://www.facebook.com/HRBlockMountOrabOH,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/h-r-block-mt-orab-761,,,,Accounting Services & Tax Preparation,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:29,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
DN Equipment,Jeff Campbell,Jeff,Campbell,110 Front Street,,OH,45154,,(937) 444-4300,,,http://www.dnequipment.com,https://www.facebook.com/DN-Equipment-291548561593519/?modal=admin_todo_tour,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/dn-equipment-766,,,,Agriculture,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:30,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
Goesslings IGA,,,,,,,,,,,,,,Business,,,,https://business.browncountyohiochamber.com/list/,https://business.browncountyohiochamber.com/list/member/goesslings-iga-486,,,,,,browncountyohiochamber,,,,,,,,,2022-12-09 11:18:30,The easy way to find businesses and members in the Brown County Ohio Chamber of Commerce
